G1	<grk>Ἀλφα</grk> alpha
G3353	<grk>μέτοχος</grk> partaker
G3354	<grk>μετρέω</grk> to measure
G3355	<grk>μετρητής</grk> measure
G3356	<grk>μετριοπαθέω</grk> be gentle
G3357	<grk>μετρίως</grk> moderately
G3358	<grk>μέτρον</grk> measure
G3359	<grk>μέτωπον</grk> forehead
G3360	<grk>μέχρι</grk> until
G3361	<grk>μή</grk> not
G3362	<grk>ἐὰν μή</grk> unless
G3363	<grk>ἵνα μή</grk> lest/so that... not
G3364	<grk>οὐ μή</grk> never
G3365	<grk>μηδαμῶς</grk> surely not
G3366	<grk>μηδέ</grk> not
G3367	<grk>μηδείς</grk> nothing
G3368	<grk>μηδέποτε</grk> never
G3369	<grk>μηδέπω</grk> not yet
G3370	<grk>Μῆδος</grk> Mede
G3371	<grk>μηκέτι</grk> never again
G3372	<grk>μῆκος</grk> length
G3373	<grk>μηκύνω</grk> to grow
G3374	<grk>μηλωτή</grk> sheepskin
G3375	<grk>μήν</grk> certainly
G3376	<grk>μήν</grk> month
G3377	<grk>μηνύω</grk> to disclose
G3378	<grk>μὴ οὐκ</grk> isn't it?
G3379	<grk>μήποτε</grk> lest
G3380	<grk>μήπω</grk> not yet
G3381	<grk>μήπως</grk> so that
G3382	<grk>μηρός</grk> thigh
G3383	<grk>μήτε</grk> neither
G3384	<grk>μήτηρ</grk> mother
G3385	<grk>μήτι</grk> no?
G3386	<grk>μήτιγε</grk> how much more
G3387	<grk>μήτις</grk> unless/any
G3388	<grk>μήτρα</grk> womb
G3389	<grk>μητραλῴας</grk> matricide
G3390	<grk>μητρόπολις</grk> capital
G3391	<grk>μία</grk> first
G3392	<grk>μιαίνω</grk> to stain
G3393	<grk>μίασμα</grk> defilement
G3394	<grk>μιασμός</grk> defilement
G3395	<grk>μίγμα</grk> mixture
G3396	<grk>μίγνυμι</grk> to mix
G3397	<grk>μικρόν</grk> little
G3398	<grk>μικρός</grk> small
G3399	<grk>Μίλητος</grk> Miletus
G3400	<grk>μίλιον</grk> mile
G3401	<grk>μιμέομαι</grk> to imitate
G3402	<grk>μιμητής</grk> imitator
G3403	<grk>μιμνήσκω</grk> to remember
G3404	<grk>μισέω</grk> to hate
G3405	<grk>μισθαποδοσία</grk> recompense
G3406	<grk>μισθαποδότης</grk> rewarder
G3407	<grk>μίσθιος</grk> hired worker
G3408	<grk>μισθός</grk> wage
G3409	<grk>μισθόω</grk> to hire
G3410	<grk>μίσθωμα</grk> rented home
G3411	<grk>μισθωτός</grk> hired worker
G3412	<grk>Μιτυλήνη</grk> Mitylene
G3413	<grk>Μιχαήλ</grk> Michael
G3414	<grk>μνᾶ</grk> mina
G3415	<grk>μνάομαι</grk> to remember
G3416	<grk>Μνάσων</grk> Mnason
G3417	<grk>μνεία</grk> remembrance
G3418	<grk>μνῆμα</grk> tomb
G3419	<grk>μνημεῖον</grk> grave
G3420	<grk>μνήμη</grk> remembrance
G3421	<grk>μνημονεύω</grk> to remember
G3422	<grk>μνημόσυνον</grk> memorial
G3423	<grk>μνηστεύω</grk> to betroth
G3424	<grk>μογιλάλος</grk> hardly talking
G3425	<grk>μόγις</grk> hardly
G3426	<grk>μόδιος</grk> bucket
G3427	<grk>μοί</grk> to me
G3428	<grk>μοιχαλίς</grk> adulterous
G3429	<grk>μοιχάω</grk> to commit adultery
G3430	<grk>μοιχεία</grk> adultery
G3431	<grk>μοιχεύω</grk> to commit adultery
G3432	<grk>μοιχός</grk> adulterer
G3433	<grk>μόλις</grk> hardly
G3434	<grk>Μολόχ</grk> Molech
G3435	<grk>μολύνω</grk> to defile
G3436	<grk>μολυσμός</grk> defilement
G3437	<grk>μομφή, μέμψις</grk> complaint
G3438	<grk>μονή</grk> abode
G3439	<grk>μονογενής</grk> unique
G3440	<grk>μόνον</grk> only
G3441	<grk>μόνος</grk> alone
G3442	<grk>μονόφθαλμος</grk> one-eyed
G3443	<grk>μονόω</grk> to leave alone
G3444	<grk>μορφή</grk> form
G3445	<grk>μορφόω</grk> to form
G3446	<grk>μόρφωσις</grk> form
G3447	<grk>μοσχοποιέω</grk> to make a calf
G3448	<grk>μόσχος</grk> calf
G3449	<grk>μόχθος</grk> toil
G3450	<grk>μοῦ</grk> of me
G3451	<grk>μουσικός</grk> musician
G3452	<grk>μυελός</grk> marrow
G3453	<grk>μυέω</grk> to initiate
G3454	<grk>μῦθος</grk> myth
G3455	<grk>μυκάομαι</grk> to roar
G3456	<grk>μυκτηρίζω</grk> to mock
G3457	<grk>μυλικός</grk> millstone
G3458	<grk>μύλος</grk> millstone
G3459	<grk>μυλών</grk> millhouse
G3460	<grk>Μύρα</grk> Myra
G3461	<grk>μυριάς</grk> myriad
G3462	<grk>μυρίζω</grk> to anoint
G3463	<grk>μύριοι</grk> myriad
G3464	<grk>μύρον</grk> ointment
G3465	<grk>Μυσία</grk> Mysia
G3466	<grk>μυστήριον</grk> mystery
G3467	<grk>μυωπάζω</grk> be nearsighted
G3468	<grk>μώλωψ</grk> wound
G3469	<grk>μωμάομαι</grk> to blame
G3470	<grk>μῶμος</grk> blemish
G3471	<grk>μωραίνω</grk> to make insipid
G3472	<grk>μωρία</grk> foolishness
G3473	<grk>μωρολογία</grk> foolish talk
G3474	<grk>μωρός</grk> foolish
G3475	<grk>Μωϋσῆς, Μωσῆς</grk> Moses
G3476	<grk>Ναασσών</grk> Nahshon
G3477	<grk>Ναγγαί</grk> Naggai
G3478	<grk>Ναζαρέθ, Ναζαρά</grk> Nazareth
G3479	<grk>Ναζαρηνός</grk> Nazarene
G3480	<grk>Ναζωραῖος</grk> Nazarene
G3481	<grk>Ναθάν</grk> Nathan
G3482	<grk>Ναθαναήλ</grk> Nathanael
G3483	<grk>ναί</grk> yes
G3484	<grk>Ναΐν</grk> Nain
G3485	<grk>ναός</grk> temple
G3486	<grk>Ναούμ</grk> Nahum
G3487	<grk>νάρδος</grk> nard
G3488	<grk>Νάρκισσος</grk> Narcissus
G3489	<grk>ναυαγέω</grk> be shipwrecked
G3490	<grk>ναύκληρος</grk> captain
G3491	<grk>ναῦς</grk> ship
G3492	<grk>ναύτης</grk> sailor
G3493	<grk>Ναχώρ</grk> Nahor
G3494	<grk>νεανίας</grk> young man
G3495	<grk>νεανίσκος</grk> young man
G3496	<grk>Νεάπολις</grk> Neapolis
G3497	<grk>Νεεμάν, Ναιμάν</grk> Naaman
G3498	<grk>νεκρός</grk> dead
G3499	<grk>νεκρόω</grk> to put to death
G3500	<grk>νέκρωσις</grk> death
G3501	<grk>νέος</grk> new
G3502	<grk>νεοσσός</grk> nestling
G3503	<grk>νεότης</grk> youth
G3504	<grk>νεόφυτος</grk> new convert
G3505	<grk>Νέρων</grk> Nero
G3506	<grk>νεύω</grk> to motion
G3507	<grk>νεφέλη</grk> cloud
G3508	<grk>Νεφθαλείμ</grk> Naphtali
G3509	<grk>νέφος</grk> cloud
G3510	<grk>νεφρός</grk> mind
G3511	<grk>νεωκόρος</grk> temple guard
G3512	<grk>νεωτερικός</grk> youthful
G3513	<grk>νή</grk> as surely as
G3514	<grk>νήθω</grk> to spin
G3515	<grk>νηπιάζω</grk> be childlike
G3516	<grk>νήπιος</grk> child
G3517	<grk>Νηρεύς</grk> Nereus
G3518	<grk>Νηρί</grk> Neri
G3519	<grk>νησίον</grk> small island
G3520	<grk>νῆσος</grk> island
G3521	<grk>νηστεία</grk> fasting
G3522	<grk>νηστεύω</grk> to fast
G3523	<grk>νῆστις</grk> fasting
G3524	<grk>νηφαλέος</grk> sober
G3525	<grk>νήφω</grk> be sober
G3526	<grk>Νίγερ</grk> Niger
G3527	<grk>Νικάνωρ</grk> Nicanor
G3528	<grk>νικάω</grk> to conquer
G3529	<grk>νίκη</grk> victory
G3530	<grk>Νικόδημος</grk> Nicodemus
G3531	<grk>Νικολαΐτης</grk> Nicolaitan
G3532	<grk>Νικόλαος</grk> Nicolas
G3533	<grk>Νικόπολις</grk> Nicopolis
G3534	<grk>νῖκος</grk> victory
G3535	<grk>Νινευΐ</grk> Nineveh
G3536	<grk>Νινευΐτης</grk> Ninevite
G3537	<grk>νιπτήρ</grk> wash basin
G3538	<grk>νίπτω</grk> to wash
G3539	<grk>νοέω</grk> to understand
G3540	<grk>νόημα</grk> mind/thought
G3541	<grk>νόθος</grk> illegitimate
G3542	<grk>νομή</grk> pasture
G3543	<grk>νομίζω</grk> to think
G3544	<grk>νομικός</grk> lawyer
G3545	<grk>νομίμως</grk> lawfully
G3546	<grk>νόμισμα</grk> coin
G3547	<grk>νομοδιδάσκαλος</grk> teacher of the law
G3548	<grk>νομοθεσία</grk> law
G3549	<grk>νομοθετέω</grk> to give laws
G3550	<grk>νομοθέτης</grk> lawgiver
G3551	<grk>νόμος</grk> law
G3552	<grk>νοσέω</grk> be sick
G3553	<grk>νόσημα</grk> disease
G3554	<grk>νόσος</grk> illness
G3555	<grk>νοσσιά</grk> chick
G3556	<grk>νοσσίον</grk> chick
G3557	<grk>νοσφίζω</grk> to embezzle
G3558	<grk>νότος</grk> south
G3559	<grk>νουθεσία</grk> admonition
G3560	<grk>νουθετέω</grk> to admonish
G3561	<grk>νουμηνία</grk> New Moon
G3562	<grk>νουνεχῶς</grk> wisely
G3563	<grk>νοῦς</grk> mind
G3564	<grk>Νυμφᾶς</grk> Nympha
G3565	<grk>νύμφη</grk> bride
G3566	<grk>νυμφίος</grk> bridegroom
G3567	<grk>νυμφών</grk> bridegroom
G3568	<grk>νῦν</grk> now
G3569	<grk>τανῦν</grk> now
G3570	<grk>νυνί</grk> now
G3571	<grk>νύξ</grk> night
G3572	<grk>νύσσω</grk> to pierce
G3573	<grk>νυστάζω</grk> to doze
G3574	<grk>νυχθήμερον</grk> and night and a day
G3575	<grk>Νῶε</grk> Noah
G3576	<grk>νωθρός</grk> dull
G3577	<grk>νῶτον</grk> back
G3578	<grk>ξενία</grk> lodging
G3579	<grk>ξενίζω</grk> to host
G3580	<grk>ξενοδοχέω</grk> to show hospitality
G3581	<grk>ξένος</grk> foreign
G3582	<grk>ξέστης</grk> pitcher
G3583	<grk>ξηραίνω</grk> to dry
G3584	<grk>ξηρός</grk> dried up/withered
G3585	<grk>ξύλινος</grk> wooden
G3586	<grk>ξύλον</grk> wood
G3587	<grk>ξυράω</grk> to shave
G3588	<grk>ὁ</grk> the/this/who
G3589	<grk>ὀγδοήκοντα</grk> eighty
G3590	<grk>ὄγδοος</grk> eighth
G3591	<grk>ὄγκος</grk> impediment
G3592	<grk>ὅδε, ἥδε</grk> this
G3593	<grk>ὁδεύω</grk> to journey
G3594	<grk>ὁδηγέω</grk> to guide
G3595	<grk>ὁδηγός</grk> guide/leader
G3596	<grk>ὁδοιπορέω</grk> to journey
G3597	<grk>ὁδοιπορία</grk> journey
G3598	<grk>ὁδός</grk> road
G3599	<grk>ὀδούς</grk> tooth
G3600	<grk>ὀδυνάω</grk> be anguished
G3601	<grk>ὀδύνη</grk> anguish
G3602	<grk>ὀδυρμός</grk> mourning
G3603	<grk>ὅ ἐστι</grk> which is
G3604	<grk>Ὀζίας</grk> Uzziah
G3605	<grk>ὄζω</grk> to stink
G3606	<grk>ὅθεν</grk> whence
G3607	<grk>ὀθόνη</grk> sheet
G3608	<grk>ὀθόνιον</grk> bandages
G3609	<grk>οἰκεῖος</grk> of one’s household
G3610	<grk>οἰκέτης</grk> slave
G3611	<grk>οἰκέω</grk> to dwell
G3612	<grk>οἴκημα</grk> cell
G3613	<grk>οἰκητήριον</grk> dwelling
G3614	<grk>οἰκία</grk> house
G3615	<grk>οἰκιακός</grk> member of a house
G3616	<grk>οἰκοδεσποτέω</grk> to manage a house
G3617	<grk>οἰκοδεσπότης</grk> householder
G3618	<grk>οἰκοδομέω</grk> to build
G3619	<grk>οἰκοδομή</grk> building
G3620	<grk>οἰκοδομία</grk> edification
G3621	<grk>οἰκονομέω</grk> to manage
G3622	<grk>οἰκονομία</grk> management
G3623	<grk>οἰκονόμος</grk> manager
G3624	<grk>οἶκος</grk> house
G3625	<grk>οἰκουμένη</grk> world
G3626	<grk>οἰκουρός</grk> busy at home
G3627	<grk>οἰκτείρω</grk> to have compassion
G3628	<grk>οἰκτιρμός</grk> compassion
G3629	<grk>οἰκτίρμων</grk> compassionate
G3630	<grk>οἰνοπότης</grk> drunkard
G3631	<grk>οἶνος</grk> wine
G3632	<grk>οἰνοφλυγία</grk> drunkenness
G3633	<grk>οἴομαι</grk> to suppose
G3634	<grk>οἷος</grk> such as
G3635	<grk>ὀκνέω</grk> to delay
G3636	<grk>ὀκνηρός</grk> lazy
G3637	<grk>ὀκταήμερος</grk> eighth day
G3638	<grk>ὀκτώ</grk> eight
G3639	<grk>ὄλεθρος</grk> destructive
G3640	<grk>ὀλιγόπιστος</grk> of little faith
G3641	<grk>ὀλίγος</grk> little/few
G3642	<grk>ὀλιγόψυχος</grk> fainthearted
G3643	<grk>ὀλιγωρέω</grk> to despise
G3644	<grk>ὀλοθρευτής</grk> destroyer
G3645	<grk>ὀλοθρεύω</grk> to destroy
G3646	<grk>ὁλοκαύτωμα</grk> burnt offering
G3647	<grk>ὁλοκληρία</grk> wholeness
G3648	<grk>ὁλόκληρος</grk> whole
G3649	<grk>ὀλολύζω</grk> to wail
G3650	<grk>ὅλος</grk> all
G3651	<grk>ὁλοτελής</grk> wholly
G3652	<grk>Ὀλυμπᾶς</grk> Olympas
G3653	<grk>ὄλυνθος</grk> late fig
G3654	<grk>ὅλως</grk> at all
G3655	<grk>ὄμβρος</grk> rainstorm
G3656	<grk>ὁμιλέω</grk> to talk
G3657	<grk>ὁμιλία</grk> association
G3658	<grk>ὅμιλος</grk> crowd
G3659	<grk>ὄμμα</grk> eye
G3660	<grk>ὄμνυμι</grk> to swear
G3661	<grk>ὁμοθυμαδόν</grk> united
G3662	<grk>ὁμοιάζω</grk> to resemble
G3663	<grk>ὁμοιοπαθής</grk> like
G3664	<grk>ὅμοιος</grk> like
G3665	<grk>ὁμοιότης</grk> likeness
G3666	<grk>ὁμοιόω</grk> to liken
G3667	<grk>ὁμοίωμα</grk> likeness
G3668	<grk>ὁμοίως</grk> likewise
G3669	<grk>ὁμοίωσις</grk> likeness
G3670	<grk>ὁμολογέω</grk> to confess/profess
G3671	<grk>ὁμολογία</grk> confession
G3672	<grk>ὁμολογουμένως</grk> undeniably
G3673	<grk>ὁμότεχνος</grk> of the same trade
G3674	<grk>ὁμοῦ</grk> together
G3675	<grk>ὁμόφρων</grk> like-minded
G3676	<grk>ὅμως</grk> just as
G3677	<grk>ὄναρ</grk> dream
G3678	<grk>ὀνάριον</grk> young donkey
G3679	<grk>ὀνειδίζω</grk> to revile
G3680	<grk>ὀνειδισμός</grk> reproach
G3681	<grk>ὄνειδος</grk> disgrace
G3682	<grk>Ὀνήσιμος</grk> Onesimus
G3683	<grk>Ὀνησίφορος</grk> Onesiphorus
G3684	<grk>ὀνικός</grk> huge millstone
G3685	<grk>ὀνίνημι</grk> to have joy
G3686	<grk>ὄνομα</grk> name
G3687	<grk>ὀνομάζω</grk> to name
G3688	<grk>ὄνος</grk> donkey
G3689	<grk>ὄντως</grk> really
G3690	<grk>ὄξος</grk> vinegar
G3691	<grk>ὀξύς</grk> sharp/swift
G3692	<grk>ὀπή</grk> hole
G3693	<grk>ὄπισθεν</grk> after
G3694	<grk>ὀπίσω</grk> after
G3695	<grk>ὁπλίζω</grk> to arm
G3696	<grk>ὅπλον</grk> weapon
G3697	<grk>ὁποῖος</grk> what sort
G3698	<grk>ὁπότε</grk> when(-ever)
G3699	<grk>ὅπου</grk> where(-ever)
G3700	<grk>ὀπτάνομαι</grk> to appear
G3701	<grk>ὀπτασία</grk> vision
G3702	<grk>ὀπτός</grk> broiled
G3703	<grk>ὀπώρα</grk> fruit
G3704	<grk>ὅπως</grk> that
G3705	<grk>ὅραμα</grk> vision
G3706	<grk>ὅρασις</grk> appearance/vision
G3707	<grk>ὁρατός</grk> visible
G3708	<grk>ὁράω</grk> to see
G3709	<grk>ὀργή</grk> wrath
G3710	<grk>ὀργίζω</grk> to anger
G3711	<grk>ὀργίλος</grk> quick-tempered
G3712	<grk>ὀργυιά</grk> a fathom
G3713	<grk>ὀρέγω</grk> to aspire
G3714	<grk>ὀρεινός</grk> hilly
G3715	<grk>ὄρεξις</grk> lust
G3716	<grk>ὀρθοποδέω</grk> be upright
G3717	<grk>ὀρθός</grk> upright
G3718	<grk>ὀρθοτομέω</grk> to cut straight
G3719	<grk>ὀρθρίζω</grk> to rise at dawn
G3720	<grk>ὀρθρινός</grk> dawn
G3721	<grk>ὄρθριος</grk> morning
G3722	<grk>ὄρθρος</grk> dawn
G3723	<grk>ὀρθῶς</grk> correctly
G3724	<grk>ὁρίζω</grk> to determine
G3725	<grk>ὅριον</grk> region
G3726	<grk>ὁρκίζω</grk> to adjure
G3727	<grk>ὅρκος</grk> oath
G3728	<grk>ὁρκωμοσία</grk> oath
G3729	<grk>ὁρμάω</grk> to stampede
G3730	<grk>ὁρμή</grk> impulse
G3731	<grk>ὅρμημα</grk> sudden violence
G3732	<grk>ὄρνεον</grk> bird
G3733	<grk>ὄρνις</grk> hen
G3734	<grk>ὁροθεσία</grk> fixed boundary
G3735	<grk>ὄρος</grk> mountain
G3736	<grk>ὀρύσσω</grk> to dig
G3737	<grk>ὀρφανός</grk> orphan
G3738	<grk>ὀρχέομαι</grk> to dance
G3739	<grk>ὅς, ἥ</grk> which
G3740	<grk>ὁσάκις</grk> whenever
G3741	<grk>ὅσιος</grk> holy
G3742	<grk>ὁσιότης</grk> holiness
G3743	<grk>ὁσίως</grk> devoutly
G3744	<grk>ὀσμή</grk> aroma
G3745	<grk>ὅσος</grk> just as/how much
G3746	<grk>ὅσπερ</grk> who
G3747	<grk>ὀστέον</grk> bone
G3748	<grk>ὅστις, ἥτις</grk> who/which
G3749	<grk>ὀστράκινος</grk> clay
G3750	<grk>ὄσφρησις</grk> sense of smell
G3751	<grk>ὀσφῦς</grk> loins
G3752	<grk>ὅταν</grk> when(-ever)
G3753	<grk>ὅτε</grk> when
G3754	<grk>ὅτι</grk> that/since
G3755	<grk>ὅτου</grk> until
G3756	<grk>οὐ</grk> no
G3757	<grk>οὗ</grk> where
G3758	<grk>οὐά</grk> aha!
G3759	<grk>οὐαί</grk> woe!
G3760	<grk>οὐδαμῶς</grk> by no means
G3761	<grk>οὐδέ</grk> and not
G3762	<grk>οὐδείς</grk> no one
G3763	<grk>οὐδέποτε</grk> never
G3764	<grk>οὐδέπω</grk> never
G3765	<grk>οὐκέτι</grk> not any more
G3766	<grk>οὐκοῦν</grk> so
G3767	<grk>οὖν</grk> therefore/then
G3768	<grk>οὔπω</grk> not yet
G3769	<grk>οὐρά</grk> tail
G3770	<grk>οὐράνιος</grk> heavenly
G3771	<grk>οὐρανόθεν</grk> from heaven
G3772	<grk>οὐρανός</grk> heaven
G3773	<grk>Οὐρβανός</grk> Urbanus
G3774	<grk>Οὐρίας</grk> Uriah
G3775	<grk>οὖς</grk> ear
G3776	<grk>οὐσία</grk> estate
G3777	<grk>οὔτε</grk> neither
G3778	<grk>οὗτος</grk> this/he/she/it
G3779	<grk>οὕτω, οὕτως</grk> thus(-ly)
G3780	<grk>οὐχί</grk> not
G3781	<grk>ὀφειλέτης</grk> debtor
G3782	<grk>ὀφειλή</grk> debt
G3783	<grk>ὀφείλημα</grk> debt
G3784	<grk>ὀφείλω</grk> to owe
G3785	<grk>ὄφελον</grk> I wish!
G3786	<grk>ὄφελος</grk> gain
G3787	<grk>ὀφθαλμοδουλεία</grk> eye-service
G3788	<grk>ὀφθαλμός</grk> eye
G3789	<grk>ὄφις</grk> snake
G3790	<grk>ὀφρῦς</grk> brow
G3791	<grk>ὀχλέω</grk> to disturb
G3792	<grk>ὀχλοποιέω</grk> to riot
G3793	<grk>ὄχλος</grk> crowd
G3794	<grk>ὀχύρωμα</grk> stronghold
G3795	<grk>ὀψάριον</grk> fish
G3796	<grk>ὀψέ</grk> evening
G3797	<grk>ὄψιμος</grk> late (rain)
G3798	<grk>ὀψία</grk> evening
G3799	<grk>ὄψις</grk> face
G3800	<grk>ὀψώνιον</grk> compensation
G3801	<grk>ο ων και ο ην και ο ερχομενος</grk> who was, is, and will be
G3802	<grk>παγιδεύω</grk> to trap
G3803	<grk>παγίς</grk> trap
G3804	<grk>πάθημα</grk> suffering
G3805	<grk>παθητός</grk> suffering
G3806	<grk>πάθος</grk> passion
G3807	<grk>παιδαγωγός</grk> guardian
G3808	<grk>παιδάριον</grk> boy
G3809	<grk>παιδεία</grk> discipline
G3810	<grk>παιδευτής</grk> instructor
G3811	<grk>παιδεύω</grk> to instruct
G3812	<grk>παιδιόθεν</grk> from childhood
G3813	<grk>παιδίον</grk> child
G3814	<grk>παιδίσκη</grk> maidservant
G3815	<grk>παίζω</grk> to play
G3816	<grk>παῖς</grk> child
G3817	<grk>παίω</grk> to strike
G3818	<grk>Πακατιανή</grk> Pacatian
G3819	<grk>πάλαι</grk> of old
G3820	<grk>παλαιός</grk> old
G3821	<grk>παλαιότης</grk> oldness
G3822	<grk>παλαιόω</grk> to make old
G3823	<grk>πάλη</grk> struggle
G3824	<grk>παλιγγενεσία</grk> regeneration
G3825	<grk>πάλιν</grk> again
G3826	<grk>παμπληθεί</grk> together
G3827	<grk>πάμπολυς</grk> great
G3828	<grk>Παμφυλία</grk> Pamphylia
G3829	<grk>πανδοχεῖον</grk> inn
G3830	<grk>πανδοχεύς</grk> innkeeper
G3831	<grk>πανήγυρις</grk> assembly
G3832	<grk>πανοικί</grk> with all the house
G3833	<grk>πανοπλία</grk> complete armor
G3834	<grk>πανουργία</grk> craftiness
G3835	<grk>πανοῦργος</grk> crafty
G3836	<grk>πανταχόθεν</grk> from all sides
G3837	<grk>πανταχοῦ</grk> everywhere
G3838	<grk>παντελής</grk> completely
G3839	<grk>πάντῃ</grk> always
G3840	<grk>πάντοθεν</grk> from all sides
G3841	<grk>παντοκράτωρ</grk> almighty
G3842	<grk>πάντοτε</grk> always
G3843	<grk>πάντως</grk> surely
G3844	<grk>παρά</grk> from/with/beside
G3845	<grk>παραβαίνω</grk> to transgress
G3846	<grk>παραβάλλω</grk> to arrive
G3847	<grk>παράβασις</grk> transgression
G3848	<grk>παραβάτης</grk> transgresor
G3849	<grk>παραβιάζομαι</grk> to urge
G3850	<grk>παραβολή</grk> parable
G3851	<grk>παραβουλεύομαι, παραβολεύομαι</grk> to risk
G3852	<grk>παραγγελία</grk> order
G3853	<grk>παραγγέλλω</grk> to order
G3854	<grk>παραγίνομαι</grk> to come
G3855	<grk>παράγω</grk> to pass
G3856	<grk>παραδειγματίζω</grk> to disgrace
G3857	<grk>παράδεισος</grk> paradise
G3858	<grk>παραδέχομαι</grk> to receive
G3859	<grk>παραδιατριβή</grk> contention
G3860	<grk>παραδίδωμι</grk> to deliver
G3861	<grk>παράδοξος</grk> remarkable
G3862	<grk>παράδοσις</grk> tradition
G3863	<grk>παραζηλόω</grk> to make envious
G3864	<grk>παραθαλάσσιος</grk> seaside
G3865	<grk>παραθεωρέω</grk> to neglect
G3866	<grk>παραθήκη</grk> deposit
G3867	<grk>παραινέω</grk> to urge
G3868	<grk>παραιτέομαι</grk> to refuse/excuse
G3869	<grk>παρακαθίζω</grk> to sit by
G3870	<grk>παρακαλέω</grk> to plead/comfort
G3871	<grk>παρακαλύπτω</grk> to hide
G3872	<grk>παρακαταθήκη</grk> deposit
G3873	<grk>παράκειμαι</grk> be present
G3874	<grk>παράκλησις</grk> encouragement
G3875	<grk>παράκλητος</grk> counsellor
G3876	<grk>παρακοή</grk> disobedience
G3877	<grk>παρακολουθέω</grk> to follow
G3878	<grk>παρακούω</grk> to ignore
G3879	<grk>παρακύπτω</grk> to stoop
G3880	<grk>παραλαμβάνω</grk> to take
G3881	<grk>παραλέγω</grk> to sail past
G3882	<grk>παράλιος</grk> seaside
G3883	<grk>παραλλαγή</grk> variation
G3884	<grk>παραλογίζομαι</grk> to deceive
G3885	<grk>παραλυτικός</grk> paralytic
G3886	<grk>παραλύω</grk> to paralyze
G3887	<grk>παραμένω</grk> to continue
G3888	<grk>παραμυθέομαι</grk> to encourage
G3889	<grk>παραμυθία</grk> comfort
G3890	<grk>παραμύθιον</grk> comfort
G3891	<grk>παρανομέω</grk> to break the law
G3892	<grk>παρανομία</grk> lawlessness
G3893	<grk>παραπικραίνω</grk> to rebel
G3894	<grk>παραπικρασμός</grk> rebellion
G3895	<grk>παραπίπτω</grk> to defect
G3896	<grk>παραπλέω</grk> to sail past
G3897	<grk>παραπλήσιον</grk> almost
G3898	<grk>παραπλησίως</grk> similarly
G3899	<grk>παραπορεύομαι</grk> to pass by/through
G3900	<grk>παράπτωμα</grk> trespass
G3901	<grk>παραρρέω</grk> to drift away
G3902	<grk>παράσημος</grk> figurehead
G3903	<grk>παρασκευάζω</grk> to prepare
G3904	<grk>παρασκευή</grk> Preparation Day
G3905	<grk>παρατείνω</grk> to prolong
G3906	<grk>παρατηρέω</grk> to observe
G3907	<grk>παρατήρησις</grk> observation
G3908	<grk>παρατίθημι</grk> to set before
G3909	<grk>παρατυγχάνω</grk> be there
G3910	<grk>παραυτίκα</grk> momentary
G3911	<grk>παραφέρω</grk> to take away
G3912	<grk>παραφρονέω</grk> be insane
G3913	<grk>παραφρονία</grk> insanity
G3914	<grk>παραχειμάζω</grk> to winter
G3915	<grk>παραχειμασία</grk> wintering
G3916	<grk>παραχρῆμα</grk> instantly
G3917	<grk>πάρδαλις</grk> leopard
G3918	<grk>πάρειμι</grk> be present
G3919	<grk>παρεισάγω</grk> to introduce
G3920	<grk>παρείσακτος</grk> infiltrated
G3921	<grk>παρεισδύνω</grk> to infiltrate
G3922	<grk>παρεισέρχομαι</grk> to come in
G3923	<grk>παρεισφέρω</grk> to supplement
G3924	<grk>παρεκτός</grk> except
G3925	<grk>παρεμβολή</grk> barracks
G3926	<grk>παρενοχλέω</grk> to trouble
G3927	<grk>παρεπίδημος</grk> stranger
G3928	<grk>παρέρχομαι</grk> to pass by
G3929	<grk>πάρεσις</grk> passing over
G3930	<grk>παρέχω</grk> to furnish occasion
G3931	<grk>παρηγορία</grk> comfort
G3932	<grk>παρθένεια</grk> virginity
G3933	<grk>παρθένος</grk> virgin
G3934	<grk>Πάρθος</grk> Parthian
G3935	<grk>παρίημι</grk> to neglect
G3936	<grk>παρίστημι</grk> to stand by
G3937	<grk>Παρμενᾶς</grk> Parmenas
G3938	<grk>πάροδος</grk> passing by
G3939	<grk>παροικέω</grk> be a stranger
G3940	<grk>παροικία</grk> sojourning
G3941	<grk>πάροικος</grk> foreigner
G3942	<grk>παροιμία</grk> proverb
G3943	<grk>πάροινος</grk> drunken
G3944	<grk>παροίχομαι</grk> to pass by
G3945	<grk>παρομοιάζω</grk> to resemble
G3946	<grk>παρόμοιος</grk> like
G3947	<grk>παροξύνω</grk> to provoke
G3948	<grk>παροξυσμός</grk> stirring up
G3949	<grk>παροργίζω</grk> to anger
G3950	<grk>παροργισμός</grk> anger
G3951	<grk>παροτρύνω</grk> to incite
G3952	<grk>παρουσία</grk> coming
G3953	<grk>παροψίς</grk> dish
G3954	<grk>παρρησία</grk> boldness
G3955	<grk>παρρησιάζομαι</grk> to preach boldly
G3956	<grk>πᾶς</grk> all
G3957	<grk>πάσχα</grk> Passover
G3958	<grk>πάσχω</grk> to suffer
G3959	<grk>Πάταρα</grk> Patara
G3960	<grk>πατάσσω</grk> to strike
G3961	<grk>πατέω</grk> to trample
G3962	<grk>πατήρ</grk> father
G3963	<grk>Πάτμος</grk> Patmos
G3964	<grk>πατραλῴας</grk> patricide
G3965	<grk>πατριά</grk> family line
G3966	<grk>πατριάρχης</grk> patriarch
G3967	<grk>πατρικός</grk> paternal
