G1	Ἀλφα alpha
G2589	καρδιογνώστης heart-knower
G2590	καρπός fruit
G2591	Κάρπος Carpus
G2592	καρποφορέω to bear fruit
G2593	καρποφόρος fruitbearing
G2594	καρτερέω to endure
G2595	κάρφος speck
G2596	κατά according to
G2597	καταβαίνω to come/go down
G2598	καταβάλλω to lay/throw down
G2599	καταβαρέω to burden
G2600	κατάβασις descent
G2601	καταβιβάζω to bring down
G2602	καταβολή beginning
G2603	καταβραβεύω to disqualify
G2604	καταγγελεύς proclaimer
G2605	καταγγέλλω to proclaim
G2606	καταγελάω to mock
G2607	καταγινώσκω to condemn
G2608	κατάγνυμι to break
G2609	κατάγω to bring down
G2610	καταγωνίζομαι to conquer
G2611	καταδέω to bandage
G2612	κατάδηλος evident
G2613	καταδικάζω to condemn
G2614	καταδιώκω to seek
G2615	καταδουλόω to enslave
G2616	καταδυναστεύω to oppress
G2617	καταισχύνω to dishonor
G2618	κατακαίω to burn
G2619	κατακαλύπτω to cover
G2620	κατακαυχάομαι to boast
G2621	κατάκειμαι to recline
G2622	κατακλάω to break
G2623	κατακλείω to lock up
G2624	κατακληροδοτέω to distribute
G2625	κατακλίνω to sit
G2626	κατακλύζω to flood
G2627	κατακλυσμός flood
G2628	κατακολουθέω to follow
G2629	κατακόπτω to cut
G2630	κατακρημνίζω to cast down
G2631	κατάκριμα condemnation
G2632	κατακρίνω to condemn
G2633	κατάκρισις condemnation
G2634	κατακυριεύω to master
G2635	καταλαλέω to slander
G2636	καταλαλιά slander
G2637	κατάλαλος slanderous
G2638	καταλαμβάνω to take/realize
G2639	καταλέγω to enrol
G2640	κατάλειμμα remnant
G2641	καταλείπω to leave
G2642	καταλιθάζω to stone
G2643	καταλλαγή reconciliation
G2644	καταλλάσσω to reconcile
G2645	κατάλοιπος remaining
G2646	κατάλυμα guest room/inn
G2647	καταλύω to destroy/lodge
G2648	καταμανθάνω to consider
G2649	καταμαρτυρέω to testify against
G2650	καταμένω to stay
G2651	καταμόνας alone
G2652	κατανάθεμα curse
G2653	καταναθεματίζω to curse
G2654	καταναλίσκω to consume
G2655	καταναρκάομαι to burden
G2656	κατανεύω to signal
G2657	κατανοέω to observe
G2658	καταντάω to come to
G2659	κατάνυξις stupor
G2660	κατανύσσω to pierce
G2661	καταξιόω to consider worthy
G2662	καταπατέω to trample
G2663	κατάπαυσις rest
G2664	καταπαύω to keep from
G2665	καταπέτασμα curtain
G2666	καταπίνω to swallow
G2667	καταπίπτω to fall down
G2668	καταπλέω to sail
G2669	καταπονέω to oppress
G2670	καταποντίζω to sink
G2671	κατάρα curse
G2672	καταράομαι to curse
G2673	καταργέω to end
G2674	καταριθμέω to number
G2675	καταρτίζω to complete
G2676	κατάρτισις perfection
G2677	καταρτισμός preparation
G2678	κατασείω to signal
G2679	κατασκάπτω to ruin
G2680	κατασκευάζω to prepare
G2681	κατασκηνόω to dwell
G2682	κατασκήνωσις dwelling place
G2683	κατασκιάζω to overshadow
G2684	κατασκοπέω to spy
G2685	κατάσκοπος spy
G2686	κατασοφίζομαι be treacherous
G2687	καταστέλλω to quiet
G2688	κατάστημα behavior
G2689	καταστολή attire/behaviour
G2690	καταστρέφω to overturn
G2691	καταστρηνιάω to desire
G2692	καταστροφή ruin
G2693	καταστρώννυμι be thrown down
G2694	κατασύρω to drag away
G2695	κατασφάζω to slaughter
G2696	κατασφραγίζω to seal
G2697	κατάσχεσις possession
G2698	κατατίθημι to do a favor
G2699	κατατομή mutilation
G2700	κατατοξεύω to shoot down
G2701	κατατρέχω to rush down
G2702	καταφέρω to vote against
G2703	καταφεύγω to flee
G2704	καταφθείρω to corrupt
G2705	καταφιλέω to kiss
G2706	καταφρονέω to despise
G2707	καταφρονητής despiser
G2708	καταχέω to pour
G2709	καταχθόνιος subterranean
G2710	καταχράομαι to use up
G2711	καταψύχω to cool
G2712	κατείδωλος idolatrous
G2713	κατέναντι before
G2714	κατενώπιον before
G2715	κατεξουσιάζω to rule
G2716	κατεργάζομαι to workout/produce
G2718	κατέρχομαι to descend
G2719	κατεσθίω to devour
G2720	κατευθύνω to guide
G2721	κατεφίστημι to attack
G2722	κατέχω to hold back/fast
G2723	κατηγορέω to accuse
G2724	κατηγορία accusation
G2725	κατήγορος accuser
G2726	κατήφεια gloominess
G2727	κατηχέω to instruct
G2728	κατιόομαι to corrode
G2729	κατισχύω to prevail
G2730	κατοικέω to dwell
G2731	κατοίκησις dwelling
G2732	κατοικητήριον dwelling place
G2733	κατοικία dwelling
G2734	κατοπτρίζω to reflect
G2735	κατόρθωμα reformation
G2736	κάτω under
G2737	κατώτερος lower
G2738	καῦμα heat
G2739	καυματίζω to scorch
G2740	καῦσις burning
G2741	καυσόω to burn
G2742	καύσων heat
G2743	καυτηριάζω to brand
G2744	καυχάομαι to boast
G2745	καύχημα pride
G2746	καύχησις pride
G2747	Κεγχρεαί Cenchrea
G2748	κέδρος Kidron
G2749	κεῖμαι to lay/be appointed
G2750	κειρία graveclothes
G2751	κείρω to shear
G2752	κέλευσμα command
G2753	κελεύω to order
G2754	κενοδοξία empty conceit
G2755	κενόδοξος conceited
G2756	κενός empty
G2757	κενοφωνία empty talk
G2758	κενόω to empty
G2759	κέντρον sting
G2760	κεντυρίων centurion
G2761	κενῶς vainly
G2762	κεραία tittle
G2763	κεραμεύς potter
G2764	κεραμικός made of clay
G2765	κεράμιον clay jar
G2766	κέραμος clay roof tile
G2767	κεράννυμι to mix
G2768	κέρας horn
G2769	κεράτιον husk
G2770	κερδαίνω to gain
G2771	κέρδος gain
G2772	κέρμα coin
G2773	κερματιστής moneychanger
G2774	κεφάλαιος sum
G2775	κεφαλαιόω to strike a head
G2776	κεφαλή head
G2777	κεφαλίς scroll
G2778	κῆνσος tax
G2779	κῆπος garden
G2780	κηπουρός gardener
G2781	κηρίον honeycomb
G2782	κήρυγμα preaching
G2783	κῆρυξ preacher
G2784	κηρύσσω to preach
G2785	κῆτος sea monster
G2786	Κηφᾶς Cephas
G2787	κιβωτός ark
G2788	κιθάρα harp
G2789	κιθαρίζω to play the harp
G2790	κιθαρῳδός harpist
G2791	Κιλικία, Κιλικία Cilicia
G2792	κινάμωμον cinnamon
G2793	κινδυνεύω be in danger
G2794	κίνδυνος danger
G2795	κινέω to move
G2796	κίνησις motion
G2797	Κίς Kish
G2798	κλάδος branch
G2799	κλαίω to weep
G2800	κλάσις breaking
G2801	κλάσμα fragment
G2802	Κλαύδη, Καῦδα Cauda
G2803	Κλαυδία Claudia
G2804	Κλαύδιος Claudius
G2805	κλαυθμός weeping
G2806	κλάω to break
G2807	κλείς key
G2808	κλείω to shut
G2809	κλέμμα theft
G2810	Κλεόπας Cleopas
G2811	κλέος credit
G2812	κλέπτης thief
G2813	κλέπτω to steal
G2814	κλῆμα branch
G2815	Κλήμης Clement
G2816	κληρονομέω to inherit
G2817	κληρονομία inheritance
G2818	κληρονόμος heir
G2819	κλῆρος lot
G2820	κληρόω to obtain
G2821	κλῆσις calling
G2822	κλητός called
G2823	κλίβανος oven
G2824	κλίμα region
G2825	κλίνη bed
G2826	κλινίδιον bed
G2827	κλίνω to bow/lay down
G2828	κλισία group
G2829	κλοπή theft
G2830	κλύδων waves
G2831	κλυδωνίζω to toss
G2832	Κλωπᾶς Clopas
G2833	κνήθω to itch
G2834	Κνίδος Cnidus
G2835	κοδράντης penny
G2836	κοιλία belly/womb/stomach
G2837	κοιμάω to sleep
G2838	κοίμησις sleep
G2839	κοινός common
G2840	κοινόω to profane
G2841	κοινωνέω to participate
G2842	κοινωνία participation
G2843	κοινωνικός generous
G2844	κοινωνός participant
G2845	κοίτη bed
G2846	κοιτών bedroom/chamberlain
G2847	κόκκινος scarlet
G2848	κόκκος seed
G2849	κολάζω to punish
G2850	κολακεία flattery
G2851	κόλασις punishment
G2852	κολαφίζω to beat
G2853	κολλάω to join
G2854	κολλούριον eye salve
G2855	κολλυβιστής moneychanger
G2856	κολοβόω to shorten
G2857	Κολοσσαί, Κολασσαί Colosse
G2858	Κολοσσαεύς Colossian
G2859	κόλπος bosom
G2860	κολυμβάω to swim
G2861	κολυμβήθρα pool
G2862	κολωνία colony
G2863	κομάω be long-haired
G2864	κόμη hair
G2865	κομίζω to bring/be repaid
G2866	κομψότερον better
G2867	κονιάω to whitewash
G2868	κονιορτός dust
G2869	κοπάζω to abate
G2870	κοπετός lamentation
G2871	κοπή slaughter
G2872	κοπιάω to labor
G2873	κόπος labor
G2874	κοπρία manure
G2875	κόπτω to cut/mourn
G2876	κόραξ raven
G2877	κοράσιον girl
G2878	κορβᾶν Corban
G2879	Κορέ Korah
G2880	κορέννυμι to satisfy
G2881	Κορίνθιος Corinthian
G2882	Κόρινθος Corinth
G2883	Κορνήλιος Cornelius
G2884	κόρος cor
G2885	κοσμέω to arrange
G2886	κοσμικός earthly
G2887	κόσμιος respectable
G2888	κοσμοκράτωρ world power
G2889	κόσμος world
G2890	Κούαρτος Quartus
G2891	κοῦμι stand up!
G2892	κουστωδία guard
G2893	κουφίζω to lighten
G2894	κόφινος basket
G2895	κράββατος bed
G2896	κράζω to cry
G2897	κραιπάλη dissipation
G2898	κρανίον skull
G2899	κράσπεδον edge
G2900	κραταιός mighty
G2901	κραταιόω to strengthen
G2902	κρατέω to grasp/seize
G2903	κράτιστος excellent
G2904	κράτος power
G2905	κραυγάζω to shout
G2906	κραυγή shouting
G2907	κρέας meat
G2908	κρείσσων greater
G2909	κρείττων stronger
G2910	κρεμάω to hang
G2911	κρημνός cliff
G2912	Κρής Cretan
G2913	Κρήσκης Crescens
G2914	Κρήτη Crete
G2915	κριθή barley
G2916	κρίθινος barley
G2917	κρίμα judgment
G2918	κρίνον lily
G2919	κρίνω to judge
G2920	κρίσις judgment
G2921	Κρίσπος Crispus
G2922	κριτήριον court/lawsuit
G2923	κριτής judge
G2924	κριτικός discerning
G2925	κρούω to knock
G2926	κρύπτη cellar
G2927	κρυπτός hidden
G2928	κρύπτω to hide
G2929	κρυσταλλίζω be clear
G2930	κρύσταλλος crystal
G2931	κρυφῇ in secret
G2932	κτάομαι to posses
G2933	κτῆμα possession
G2934	κτῆνος animal
G2935	κτήτωρ owner
G2936	κτίζω to create
G2937	κτίσις creation
G2938	κτίσμα creature
G2939	κτίστης creator
G2940	κυβεία cunning
G2941	κυβέρνησις administration
G2942	κυβερνήτης captain
G2943	κυκλόθεν around
G2944	κυκλόω to surround
G2945	κύκλῳ surrounding
G2946	κύλισμα wallowing
G2947	κυλίω to wallow
G2948	κυλλός crippled
G2949	κῦμα a wave
G2950	κύμβαλον cymbal
G2951	κύμινον cumin
G2952	κυνάριον little dog
G2953	Κύπριος Cyprian
G2954	Κύπρος Cyprus
G2955	κύπτω to stoop/bend down
G2956	Κυρηναῖος from Cyrene
G2957	Κυρήνη Cyrene
G2958	Κυρήνιος Quirinius
G2959	Κυρία lady
G2960	κυριακός the Lord’s
G2961	κυριεύω to lord over
G2962	κύριος lord
G2963	κυριότης lordship
G2964	κυρόω to affirm
G2965	κύων dog
G2966	κῶλον corpse
G2967	κωλύω to prevent
G2968	κώμη village
G2969	κωμόπολις village
G2970	κῶμος orgy
G2971	κώνωψ gnat
G2972	Κώς Cos
G2973	Κωσάμ Cosam
G2974	κωφός deaf/mute
G2975	λαγχάνω to choose by lot
G2976	Λάζαρος Lazarus
G2977	λάθρα quietly
G2978	λαῖλαψ storm
G2979	λακτίζω to kick
G2980	λαλέω to speak
G2981	λαλιά speech
G2982	λαμά why?
G2983	λαμβάνω to take
G2984	Λάμεχ Lamech
G2985	λαμπάς window
G2986	λαμπρός shining
G2987	λαμπρότης brightness
G2988	λαμπρῶς magnificently
G2989	λάμπω to shine
G2990	λανθάνω be hidden
G2991	λαξευτός engraved
G2992	λαός a people
G2993	Λαοδίκεια Laodicea
G2994	Λαοδικεύς Laodicean
G2995	λάρυγξ throat
G2996	Λασαία Lasea
G2997	λάσχω to burst
G2998	λατομέω to hew
G2999	λατρεία ministry
G3000	λατρεύω to minister
G3001	λάχανον plant
G3002	Λεββαῖος Lebbaeus
G3003	λεγεών legion
G3004	λέγω to speak
G3005	λεῖμμα remnant
G3006	λεῖος smooth
G3007	λείπω to lack
G3008	λειτουργέω to minister
G3009	λειτουργία ministry
G3010	λειτουργικός ministering
G3011	λειτουργός minister
G3012	λέντιον towel
G3013	λεπίς scale
G3014	λέπρα leprosy
G3015	λεπρός leprous
G3016	λεπτός coin
G3017	Λευΐ Levi
G3018	Λευΐς Levi
G3019	Λευΐτης Levite
G3020	Λευϊτικός Levitical
G3021	λευκαίνω to bleach
G3022	λευκός white
G3023	λέων lion
G3024	λήθη forgetfulness
G3025	ληνός winepress
G3026	λῆρος nonsense
G3027	λῃστής robber/rebel
G3028	λῆψις receiving
G3029	λίαν greatly
G3030	λίβανος frankincense
G3031	λιβανωτός censer
G3032	Λιβερτῖνος Freedman
G3033	Λιβύη Libya
G3034	λιθάζω to stone
G3035	λίθινος stone
G3036	λιθοβολέω to stone
G3037	λίθος stone
G3038	λιθόστρωτος pavement
G3039	λικμάω to crush
G3040	λιμήν harbor
G3041	λίμνη lake
G3042	λιμός hunger
G3043	λίνον linen/wick
G3044	Λίνος Linus
G3045	λιπαρός rich
G3046	λίτρα pound
G3047	λίψ southwest
G3048	λογία collection
G3049	λογίζομαι to count
G3050	λογικός spiritual
G3051	λόγιον oracles
G3052	λόγιος learned
G3053	λογισμός thought
G3054	λογομαχέω to quarrel
G3055	λογομαχία quarrel
G3056	λόγος word
G3057	λόγχη spear
G3058	λοιδορέω to revile
G3059	λοιδορία reviling
G3060	λοίδορος reviler
G3061	λοιμός pestilence
G3062	λοιπός remaining
G3063	λοιπόν henceforth
G3064	λοιποῦ henceforth
G3065	Λουκᾶς Luke
G3066	Λούκιος Lucius
G3067	λουτρόν washing
G3068	λούω to wash
G3069	Λύδδα Lydda
G3070	Λυδία Lydia
G3071	Λυκαονία Lycaonia
G3072	Λυκαονιστί in Lycaonian
G3073	Λυκία Lycia
G3074	λύκος wolf
G3075	λυμαίνομαι to ravage
G3076	λυπέω to grieve
G3077	λύπη grief
G3078	Λυσανίας Lysanias
G3079	Λυσίας Lysias
G3080	λύσις divorce
G3081	λυσιτελεῖ to profit
G3082	Λύστρα Lystra
G3083	λύτρον ransom
G3084	λυτρόω to ransom
G3085	λύτρωσις redemption
G3086	λυτρωτής redeemer
G3087	λυχνία lampstand
G3088	λύχνος lamp
G3089	λύω to loose
G3090	Λωΐς Lois
G3091	Λώτ Lot
G3092	Μαάθ Maath
G3093	Μαγδαλά, Μαγαδάν Magadan
G3094	Μαγδαληνή Magdalene
G3095	μαγεία magic
G3096	μαγεύω to practice magic
G3097	μάγος sage
G3098	Μαγώγ Magog
G3099	Μαδιάν Midian
G3100	μαθητεύω to disciple
G3101	μαθητής disciple
G3102	μαθήτρια disciple
G3103	Μαθουσάλα Methuselah
G3104	Μαϊνάν Menna
G3105	μαίνομαι to rave
G3106	μακαρίζω to bless
G3107	μακάριος blessed
G3108	μακαρισμός blessedness
G3109	Μακεδονία Macedonia
G3110	Μακεδών Macedonian
G3111	μάκελλον meat market
G3112	μακράν far
G3113	μακρόθεν from afar
G3114	μακροθυμέω to have patience
G3115	μακροθυμία patience
G3116	μακροθυμώς patiently
G3117	μακρός long/distant
G3118	μακροχρόνιος long-lived
G3119	μαλακία sickness
G3120	μαλακός soft/effeminate
G3121	Μαλελεήλ Mahalalel
G3122	μάλιστα especially
G3123	μᾶλλον more
G3124	Μάλχος Malchus
G3125	μάμμη grandmother
G3126	μαμμωνᾶς wealth
G3127	Μαναήν Manaen
G3128	Μανασσῆς Manasseh
G3129	μανθάνω to learn
G3130	μανία insanity
G3131	μάννα manna
G3132	μαντεύομαι to divine
G3133	μαραίνω to fade
G3134	μαρὰν ἀθά Come, Lord!
G3135	μαργαρίτης pearl
G3136	Μάρθα Martha
G3137	Μαρία Mary
G3138	Μάρκος Mark
G3139	μάρμαρος marble
G3140	μαρτυρέω to testify
G3141	μαρτυρία testimony
G3142	μαρτύριον testimony
G3143	μαρτύρομαι to testify
G3144	μάρτυς witness
G3145	μασσάομαι to gnaw
G3146	μαστιγόω to whip
G3147	μαστίζω to whip
G3148	μάστιξ whip
G3149	μαστός, μαζός breast
G3150	ματαιολογία babble
G3151	ματαιολόγος babbler
G3152	μάταιος futile
G3153	ματαιότης futility
G3154	ματαιόω to make futile
G3155	μάτην in vain
G3156	Ματθαῖος Matthew
G3157	Ματθάν Matthan
G3158	Ματθάτ, Μαθθάτ Matthat
G3159	Ματθίας, Μαθθίας Matthias
G3160	Ματταθά Mattatha
G3161	Ματταθίας Mattathias
G3162	μάχαιρα sword
G3163	μάχη quarrel
G3164	μάχομαι to quarrel
G3165	μέ me
G3166	μεγαλαυχέω to boast
G3167	μεγαλεῖος great thing
G3168	μεγαλειότης majesty
G3169	μεγαλοπρεπής majestic
G3170	μεγαλύνω to magnify
G3171	μεγάλως greatly
G3172	μεγαλωσύνη majesty
G3173	μέγας great
G3174	μέγεθος greatness
G3175	μεγιστάν great man
G3176	μέγιστος greatest
G3177	μεθερμηνεύω to mean
G3178	μέθη drunkenness
G3179	μεθίστημι to move
G3180	μεθοδεία scheme
G3181	μεθόριος boundary
G3182	μεθύσκω to get drunk
G3183	μέθυσος drunkard
G3184	μεθύω to get drunk
G3185	μεῖζον greater
G3186	μειζότερος greatest
G3187	μείζων greater
G3188	μέλαν ink
G3189	μέλας black
G3190	Μελεᾶς Melea
G3191	μελετάω to meditate/plot
G3192	μέλι honey
G3193	μελίσσιος honeycomb
G3194	Μελίτη Malta
G3195	μέλλω be about to
G3196	μέλος member
G3197	Μελχί Melki
G3198	Μελχισεδέκ Melchizedek
G3199	μέλω to care
G3200	μεμβράνα parchment
G3201	μέμφομαι to blame
G3202	μεμψίμοιρος malcontent
G3303	μέν on the other hand
G3304	μενοῦνγε rather
G3305	μέντοι yet
G3306	μένω to stay
G3307	μερίζω to divide
G3308	μέριμνα concern
G3309	μεριμνάω to worry
G3310	μερίς part
G3311	μερισμός division
G3312	μεριστής arbiter
G3313	μέρος part
G3314	μεσημβρία noon/south
G3315	μεσιτεύω to guarantee
G3316	μεσίτης mediator
G3317	μεσονύκτιος midnight
G3318	Μεσοποταμία Mesopotamia
G3319	μέσος midst
G3320	μεσότοιχος wall
G3321	μεσουράνημα midair
G3322	μεσόω be in the middle
G3323	Μεσσίας Messiah
G3324	μεστός full
G3325	μεστόω to fill
G3326	μετά with/after
G3327	μεταβαίνω to depart
G3328	μεταβάλλω to change mind
G3329	μετάγω to turn
G3330	μεταδίδωμι to share
G3331	μετάθεσις removal/change
G3332	μεταίρω to leave
G3333	μετακαλέω to summon
G3334	μετακινέω to shift
G3335	μεταλαμβάνω to partake
G3336	μετάληψις partaking of
G3337	μεταλλάσσω to exchange
G3338	μεταμέλλομαι to repent
G3339	μεταμορφόω to transform
G3340	μετανοέω to repent
G3341	μετάνοια repentance
G3342	μεταξύ between/meanwhile
G3343	μεταπέμπω to summon
G3344	μεταστρέφω to change
G3345	μετασχηματίζω to transform
G3346	μετατίθημι to transport
G3347	μετέπειτα afterward
G3348	μετέχω to share
G3349	μετεωρίζω to worry
G3350	μετοικεσία deportation
G3351	μετοικίζω to deport
G3352	μετοχή participation
G3353	μέτοχος partaker
G3354	μετρέω to measure
G3355	μετρητής measure
G3356	μετριοπαθέω be gentle
G3357	μετρίως moderately
G3358	μέτρον measure
G3359	μέτωπον forehead
G3360	μέχρι until
G3361	μή not
G3362	ἐὰν μή unless
G3363	ἵνα μή lest/so that... not
G3364	οὐ μή never
G3365	μηδαμῶς surely not
G3366	μηδέ not
G3367	μηδείς nothing
G3368	μηδέποτε never
G3369	μηδέπω not yet
G3370	Μῆδος Mede
G3371	μηκέτι never again
G3372	μῆκος length
G3373	μηκύνω to grow
G3374	μηλωτή sheepskin
G3375	μήν certainly
G3376	μήν month
G3377	μηνύω to disclose
G3378	μὴ οὐκ isn't it?
G3379	μήποτε lest
G3380	μήπω not yet
G3381	μήπως so that
G3382	μηρός thigh
G3383	μήτε neither
G3384	μήτηρ mother
G3385	μήτι no?
G3386	μήτιγε how much more
G3387	μήτις unless/any
G3388	μήτρα womb
G3389	μητραλῴας matricide
G3390	μητρόπολις capital
G3391	μία first
G3392	μιαίνω to stain
G3393	μίασμα defilement
G3394	μιασμός defilement
G3395	μίγμα mixture
G3396	μίγνυμι to mix
G3397	μικρόν little
G3398	μικρός small
G3399	Μίλητος Miletus
G3400	μίλιον mile
G3401	μιμέομαι to imitate
G3402	μιμητής imitator
G3403	μιμνήσκω to remember
G3404	μισέω to hate
G3405	μισθαποδοσία recompense
G3406	μισθαποδότης rewarder
G3407	μίσθιος hired worker
G3408	μισθός wage
G3409	μισθόω to hire
G3410	μίσθωμα rented home
G3411	μισθωτός hired worker
G3412	Μιτυλήνη Mitylene
G3413	Μιχαήλ Michael
G3414	μνᾶ mina
G3415	μνάομαι to remember
G3416	Μνάσων Mnason
G3417	μνεία remembrance
G3418	μνῆμα tomb
G3419	μνημεῖον grave
G3420	μνήμη remembrance
G3421	μνημονεύω to remember
G3422	μνημόσυνον memorial
G3423	μνηστεύω to betroth
G3424	μογιλάλος hardly talking
G3425	μόγις hardly
G3426	μόδιος bucket
G3427	μοί to me
G3428	μοιχαλίς adulterous
G3429	μοιχάω to commit adultery
G3430	μοιχεία adultery
G3431	μοιχεύω to commit adultery
G3432	μοιχός adulterer
G3433	μόλις hardly
G3434	Μολόχ Molech
G3435	μολύνω to defile
G3436	μολυσμός defilement
G3437	μομφή, μέμψις complaint
G3438	μονή abode
G3439	μονογενής unique
G3440	μόνον only
G3441	μόνος alone
G3442	μονόφθαλμος one-eyed
G3443	μονόω to leave alone
G3444	μορφή form
G3445	μορφόω to form
G3446	μόρφωσις form
G3447	μοσχοποιέω to make a calf
G3448	μόσχος calf
G3449	μόχθος toil
G3450	μοῦ of me
G3451	μουσικός musician
G3452	μυελός marrow
G3453	μυέω to initiate
G3454	μῦθος myth
G3455	μυκάομαι to roar
G3456	μυκτηρίζω to mock
G3457	μυλικός millstone
G3458	μύλος millstone
G3459	μυλών millhouse
G3460	Μύρα Myra
G3461	μυριάς myriad
G3462	μυρίζω to anoint
G3463	μύριοι myriad
G3464	μύρον ointment
G3465	Μυσία Mysia
G3466	μυστήριον mystery
G3467	μυωπάζω be nearsighted
G3468	μώλωψ wound
G3469	μωμάομαι to blame
G3470	μῶμος blemish
G3471	μωραίνω to make insipid
G3472	μωρία foolishness
G3473	μωρολογία foolish talk
G3474	μωρός foolish
G3475	Μωϋσῆς, Μωσῆς Moses
G3476	Ναασσών Nahshon
G3477	Ναγγαί Naggai
G3478	Ναζαρέθ, Ναζαρά Nazareth
G3479	Ναζαρηνός Nazarene
G3480	Ναζωραῖος Nazarene
G3481	Ναθάν Nathan
G3482	Ναθαναήλ Nathanael
G3483	ναί yes
G3484	Ναΐν Nain
G3485	ναός temple
G3486	Ναούμ Nahum
G3487	νάρδος nard
G3488	Νάρκισσος Narcissus
G3489	ναυαγέω be shipwrecked
G3490	ναύκληρος captain
G3491	ναῦς ship
G3492	ναύτης sailor
G3493	Ναχώρ Nahor
G3494	νεανίας young man
G3495	νεανίσκος young man
G3496	Νεάπολις Neapolis
G3497	Νεεμάν, Ναιμάν Naaman
G3498	νεκρός dead
G3499	νεκρόω to put to death
G3500	νέκρωσις death
G3501	νέος new
G3502	νεοσσός nestling
G3503	νεότης youth
G3504	νεόφυτος new convert
G3505	Νέρων Nero
G3506	νεύω to motion
G3507	νεφέλη cloud
G3508	Νεφθαλείμ Naphtali
G3509	νέφος cloud
G3510	νεφρός mind
G3511	νεωκόρος temple guard
G3512	νεωτερικός youthful
G3513	νή as surely as
G3514	νήθω to spin
G3515	νηπιάζω be childlike
G3516	νήπιος child
G3517	Νηρεύς Nereus
G3518	Νηρί Neri
G3519	νησίον small island
G3520	νῆσος island
G3521	νηστεία fasting
G3522	νηστεύω to fast
G3523	νῆστις fasting
G3524	νηφαλέος sober
G3525	νήφω be sober
G3526	Νίγερ Niger
G3527	Νικάνωρ Nicanor
G3528	νικάω to conquer
G3529	νίκη victory
G3530	Νικόδημος Nicodemus
G3531	Νικολαΐτης Nicolaitan
G3532	Νικόλαος Nicolas
G3533	Νικόπολις Nicopolis
G3534	νῖκος victory
G3535	Νινευΐ Nineveh
G3536	Νινευΐτης Ninevite
G3537	νιπτήρ wash basin
G3538	νίπτω to wash
G3539	νοέω to understand
G3540	νόημα mind/thought
G3541	νόθος illegitimate
G3542	νομή pasture
G3543	νομίζω to think
G3544	νομικός lawyer
G3545	νομίμως lawfully
G3546	νόμισμα coin
G3547	νομοδιδάσκαλος teacher of the law
G3548	νομοθεσία law
G3549	νομοθετέω to give laws
G3550	νομοθέτης lawgiver
G3551	νόμος law
G3552	νοσέω be sick
G3553	νόσημα disease
G3554	νόσος illness
G3555	νοσσιά chick
G3556	νοσσίον chick
G3557	νοσφίζω to embezzle
G3558	νότος south
G3559	νουθεσία admonition
G3560	νουθετέω to admonish
G3561	νουμηνία New Moon
G3562	νουνεχῶς wisely
G3563	νοῦς mind
G3564	Νυμφᾶς Nympha
G3565	νύμφη bride
G3566	νυμφίος bridegroom
G3567	νυμφών bridegroom
G3568	νῦν now
G3569	τανῦν now
G3570	νυνί now
G3571	νύξ night
G3572	νύσσω to pierce
G3573	νυστάζω to doze
G3574	νυχθήμερον and night and a day
G3575	Νῶε Noah
G3576	νωθρός dull
G3577	νῶτον back
G3578	ξενία lodging
G3579	ξενίζω to host
G3580	ξενοδοχέω to show hospitality
G3581	ξένος foreign
G3582	ξέστης pitcher
G3583	ξηραίνω to dry
G3584	ξηρός dried up/withered
G3585	ξύλινος wooden
G3586	ξύλον wood
G3587	ξυράω to shave
G3588	ὁ the/this/who
G3589	ὀγδοήκοντα eighty
G3590	ὄγδοος eighth
G3591	ὄγκος impediment
G3592	ὅδε, ἥδε this
G3593	ὁδεύω to journey
G3594	ὁδηγέω to guide
G3595	ὁδηγός guide/leader
G3596	ὁδοιπορέω to journey
G3597	ὁδοιπορία journey
G3598	ὁδός road
G3599	ὀδούς tooth
G3600	ὀδυνάω be anguished
G3601	ὀδύνη anguish
G3602	ὀδυρμός mourning
G3603	ὅ ἐστι which is
G3604	Ὀζίας Uzziah
G3605	ὄζω to stink
G3606	ὅθεν whence
G3607	ὀθόνη sheet
G3608	ὀθόνιον bandages
G3609	οἰκεῖος of one’s household
G3610	οἰκέτης slave
G3611	οἰκέω to dwell
G3612	οἴκημα cell
G3613	οἰκητήριον dwelling
G3614	οἰκία house
G3615	οἰκιακός member of a house
G3616	οἰκοδεσποτέω to manage a house
G3617	οἰκοδεσπότης householder
G3618	οἰκοδομέω to build
G3619	οἰκοδομή building
G3620	οἰκοδομία edification
G3621	οἰκονομέω to manage
G3622	οἰκονομία management
G3623	οἰκονόμος manager
G3624	οἶκος house
G3625	οἰκουμένη world
G3626	οἰκουρός busy at home
G3627	οἰκτείρω to have compassion
G3628	οἰκτιρμός compassion
G3629	οἰκτίρμων compassionate
G3630	οἰνοπότης drunkard
G3631	οἶνος wine
G3632	οἰνοφλυγία drunkenness
G3633	οἴομαι to suppose
G3634	οἷος such as
G3635	ὀκνέω to delay
G3636	ὀκνηρός lazy
G3637	ὀκταήμερος eighth day
G3638	ὀκτώ eight
G3639	ὄλεθρος destructive
G3640	ὀλιγόπιστος of little faith
G3641	ὀλίγος little/few
G3642	ὀλιγόψυχος fainthearted
G3643	ὀλιγωρέω to despise
G3644	ὀλοθρευτής destroyer
G3645	ὀλοθρεύω to destroy
G3646	ὁλοκαύτωμα burnt offering
G3647	ὁλοκληρία wholeness
G3648	ὁλόκληρος whole
G3649	ὀλολύζω to wail
G3650	ὅλος all
