OGNTsort	NET2
017571	on
017572	his left.
017573	
017574	
017575	Those who passed by
017576	defamed him,
017577	
017578	shaking
017579	
017580	their heads
017581	
017582	
017583	and saying,
017584	
017585	“You who can destroy
017586	
017587	the temple
017588	
017589	it in
017590	three
017591	days,
017592	and rebuild
017593	save
017594	yourself!
017595	If
017596	Son,
017597	you are
017598	
017599	God’s
017600	
017601	come down
017602	from
017603	
017604	the cross!”
017605	In the same way
017606	
017607	
017608	even the chief priests –
017609	were mocking him:
017610	together with
017611	
017612	the experts in the law
017613	
017614	and elders –
017615	
017616	others,
017617	“He saved
017618	himself!
017619	
017620	but he cannot
017621	save
017622	the king
017623	of Israel!
017624	He is
017625	If he comes down
017626	now
017627	from
017628	
017629	the cross,
017630	
017631	we will believe
017632	in him!
017633	
017634	He trusts
017635	in
017636	
017637	God –
017638	to, deliver him
017639	now
017640	let God, if
017641	he wants
017642	
017643	he said,
017644	because
017645	
017646	God’s
017647	‘I am
017648	Son’!”
017649	
017650	
017651	
017652	
017653	
017654	The robbers
017655	
017656	who were crucified
017657	with him
017658	
017659	also spoke abusively to him.
017660	
017661	from
017662	Now
017663	noon
017664	
017665	darkness
017666	came
017667	over
017668	all
017669	
017670	the land.
017671	until
017672	
017673	three,
017674	At about
017675	
017676	
017677	three
017678	o’clock
017679	shouted
017680	
017681	Jesus
017682	voice,
017683	with a loud
017684	
017685	“Eli,
017686	Eli,
017687	lema
017688	sabachthani?”
017689	
017690	that is,
017691	“My God,
017692	
017693	my God,
017694	
017695	why
017696	
017697	have you forsaken me?”
017698	When some
017699	
017700	
017701	
017702	of the bystanders
017703	heard
017704	it, they said,
017705	
017706	for Elijah.”
017707	“This man is calling
017708	
017709	
017710	Immediately
017711	ran
017712	one
017713	of them
017714	
017715	
017716	and got
017717	a sponge,
017718	filled
017719	
017720	it with sour wine,
017721	
017722	put it on
017723	a stick,
017724	and gave it to
017725	him to drink.
017726	
017727	But
017728	the rest
017729	said,
017730	“Leave him alone!
017731	Let’s see
017732	if
017733	will come
017734	Elijah
017735	to save him.”
017736	
017737	
017738	Then
017739	Jesus
017740	again
017741	cried out
017742	voice
017743	with a loud
017744	and gave up
017745	
017746	his spirit.
017747	
017748	Just then
017749	
017750	curtain
017751	
017752	the temple
017753	was torn
017754	from
017755	top
017756	to
017757	bottom.
017758	in
017759	two,
017760	
017761	
017762	The earth
017763	shook
017764	
017765	
017766	and the rocks
017767	were split apart.
017768	
017769	
017770	And tombs
017771	were opened,
017772	
017773	of many
017774	and the bodies
017775	
017776	who had died
017777	saints
017778	were raised.
017779	
017780	(They came out
017781	of
017782	
017783	the tombs
017784	after
017785	
017786	his resurrection
017787	
017788	and went
017789	into
017790	
017791	the holy
017792	city
017793	
017794	and appeared
017795	to many people.)
017796	
017797	Now
017798	when the centurion
017799	
017800	
017801	and those with him
017802	
017803	guarding
017804	
017805	Jesus
017806	saw
017807	
017808	the earthquake
017809	
017810	
017811	and what took place,
017812	who were
017813	they were extremely terrified
017814	and said,
017815	“Truly
017816	God’s
017817	Son!”
017818	this one was
017819	
017820	were
017821	also
017822	there,
017823	women
017824	Many
017825	from
017826	a distance.
017827	watching
017828	
017829	who had followed
017830	
017831	Jesus
017832	from
017833	
017834	Galilee and given him
017835	support
017836	
017837	Among
017838	them
017839	were
017840	Mary
017841	
017842	Magdalene,
017843	
017844	Mary
017845	
017846	
017847	of James
017848	
017849	and Joseph,
017850	the mother
017851	
017852	
017853	and the mother
017854	
017855	of the sons
017856	of Zebedee.
017857	evening,
017858	Now
017859	when it was
017860	there came
017861	man
017862	a rich
017863	from
017864	Arimathea,
017865	named
017866	Joseph,
017867	who
017868	
017869	
017870	was also a disciple
017871	
017872	of Jesus.
017873	
017874	He went
017875	
017876	to Pilate
017877	and asked for
017878	
017879	the body
017880	
017881	of Jesus.
017882	Then
017883	
017884	Pilate
017885	ordered
017886	that it be given to him.
017887	
017888	took
017889	
017890	the body,
017891	
017892	Joseph
017893	wrapped it
017894	
017895	in
017896	linen cloth,
017897	a clean
017898	
017899	and placed
017900	
017901	it in
017902	
017903	his own new
017904	
017905	tomb
017906	that
017907	he had cut
017908	in
017909	
017910	the rock.
017911	
017912	Then he rolled
017913	stone
017914	a great
017915	
017916	across the entrance
017917	
017918	of the tomb
017919	and went away.
017920	
017921	(Now
017922	there,
017923	Mary
017924	
017925	Magdalene
017926	
017927	
017928	and the other
017929	Mary
017930	were sitting
017931	opposite
017932	
017933	the tomb.)
017934	
017935	
017936	The next day
017937	(which
017938	is
017939	after
017940	
017941	the day of preparation)
017942	assembled
017943	
017944	the chief priests
017945	
017946	
017947	and the Pharisees
017948	before
017949	Pilate
017950	and said,
017951	“Sir,
017952	we remember that
017953	
017954	while that
017955	
017956	deceiver
017957	he said,
017958	was still
017959	alive
017960	‘After
017961	three
017962	days
017963	I will rise again.’
017964	give orders
017965	So
017966	to secure
017967	
017968	the tomb
017969	until
017970	
017971	the third
017972	day.
017973	Otherwise
017974	may come
017975	
017976	his disciples
017977	
017978	and steal
017979	
017980	
017981	his body and say
017982	
017983	to the people,
017984	‘He has been raised
017985	from
017986	
017987	the dead,’
017988	
017989	will be
017990	
017991	and the last
017992	deception
017993	worse
017994	
017995	than the first.”
017996	said to them,
017997	
017998	
017999	Pilate
018000	“Take
018001	a guard of soldiers.
018002	Go
018003	and make it as secure
018004	as
018005	you can.”
018006	
018007	So
018008	they went
018009	secure
018010	
018011	and made the tomb
018012	by sealing
018013	
018014	the stone.
018015	with
018016	
018017	the soldiers of the guard
018018	after
018019	Now
018020	the Sabbath,
018021	
018022	at dawn
018023	on
018024	the first
018025	day of the week,
018026	went
018027	Mary
018028	
018029	Magdalene
018030	
018031	
018032	and the other
018033	Mary
018034	to look at
018035	
018036	the tomb.
018037	
018038	Suddenly
018039	earthquake,
018040	there was
018041	a severe
018042	an angel
018043	for
018044	of the Lord
018045	descending
018046	from
018047	heaven
018048	
018049	came
018050	and rolled away
018051	
018052	the stone
018053	
018054	and sat
018055	on it.
018056	
018057	was
018058	
018059	
018060	His appearance
018061	
018062	like
018063	lightning,
018064	
018065	
018066	and his clothes
018067	
018068	were white
018069	as
018070	snow.
018071	
018072	
018073	
018074	because they were so afraid of him.
018075	
018076	were shaken
018077	
018078	The guards
018079	
018080	and became
018081	like
018082	dead men
018083	
018084	But
018085	
018086	the angel
018087	said
018088	
018089	to the women,
018090	“Do not
018091	be afraid;
018092	
018093	I know
018094	
018095	
018096	Jesus,
018097	
018098	who was crucified.
018099	that you are looking for
018100	not
018101	He is
018102	here,
018103	he has been raised,
018104	for
018105	just as
018106	he said.
018107	Come
018108	and see
018109	
018110	the place
018111	where
018112	he was lying.
018113	
018114	quickly
018115	Then go
018116	and tell
018117	
018118	his disciples,
018119	
018120	
018121	‘He has been raised
018122	from
018123	
018124	the dead.
018125	
018126	Listen,
018127	He is going ahead of you
018128	
018129	into
018130	
018131	Galilee.
018132	there.’
018133	
018134	You will see him
018135	
018136	I have told you!”
018137	
018138	
018139	So they left
018140	quickly,
018141	
018142	
018143	the tomb
018144	with
018145	fear
018146	
018147	joy,
018148	and great
018149	and ran
018150	to tell
018151	
018152	his disciples.
018153	
018154	
018155	
018156	But Jesus
018157	met them,
018158	
018159	saying,
018160	“Greetings!”
018161	
018162	
018163	They came to him,
018164	held on
018165	
018166	
018167	to his feet
018168	
018169	and worshiped him.
018170	
018171	Then
018172	said to them,
018173	
018174	
018175	Jesus
018176	“Do not
018177	be afraid.
018178	Go
018179	and tell
018180	
018181	my brothers
018182	
018183	to
018184	go
018185	to
018186	
018187	Galilee.
018188	there.”
018189	
018190	They will see me
018191	While they were going,
018192	
018193	
018194	
018195	some
018196	
018197	of the guard
018198	went
018199	into
018200	
018201	the city
018202	and told
018203	
018204	the chief priests
018205	everything
018206	
018207	that had happened.
018208	
018209	After they had assembled
018210	with
018211	
018212	the elders
018213	a plan,
018214	
018215	and formed
018216	of money
018217	a large sum
018218	they gave
018219	
018220	to the soldiers,
018221	telling
018222	them, “You are to say,
018223	
018224	
018225	‘His disciples
018226	
018227	at night
018228	came
018229	and stole
018230	
018231	
018232	his body while we were asleep.’
018233	
018234	If
018235	this matter is heard
018236	
018237	before
018238	
018239	the governor,
018240	
018241	we will satisfy
018242	
018243	
018244	
018245	out of trouble.”
018246	him and keep you
018247	
018248	So
018249	they took
018250	
018251	the money
018252	and did
018253	as
018254	they were instructed.
018255	
018256	is told among
018257	
018258	And this story
018259	
018260	
018261	the Jews
018262	to
018263	
018264	this
018265	day.
018266	
018267	So
018268	the eleven
018269	disciples
018270	went
018271	to
018272	
018273	Galilee
018274	to
018275	
018276	the mountain
018277	
018278	had designated.
018279	
018280	
018281	Jesus
018282	
018283	When they saw him,
018284	
018285	they worshiped him,
018286	
018287	but
018288	some doubted.
018289	
018290	came up
018291	
018292	Then Jesus
018293	and said to them,
018294	
018295	
018296	has been given to me.
018297	
018298	“All
018299	authority
018300	in
018301	heaven
018302	
018303	and on
018304	
018305	earth
018306	go
018307	Therefore
018308	and make disciples
018309	of all
018310	
018311	nations,
018312	baptizing them
018313	
018314	in
018315	
018316	the name
018317	
018318	of the Father
018319	
018320	
018321	and the Son
018322	
018323	
018324	and the Holy
018325	Spirit,
018326	teaching them
018327	
018328	to obey
018329	everything
018330	
018331	I have commanded you.
018332	
018333	
018334	And remember,
018335	
018336	with you
018337	
018338	I am
018339	
018340	
018341	always,
018342	to
018343	
018344	the end
018345	
018346	of the age.”
018347	The beginning
018348	
018349	of the gospel
018350	of Jesus
018351	Christ,
018352	the Son
018353	of God.
018354	As
018355	it is written
018356	in
018357	
018358	Isaiah,
018359	
018360	the prophet
018361	“Look,
018362	I am sending
018363	
018364	my messenger
018365	
018366	ahead of
018367	
018368	
018369	you, who
018370	will prepare
018371	
018372	your way,
018373	
018374	the voice
018375	of one shouting
018376	in
018377	
018378	the wilderness,
018379	‘Prepare
018380	
018381	the way
018382	for the Lord,
018383	straight.’”
018384	make
018385	
018386	his paths
018387	
018388	
018389	John
018390	
018391	the baptizer
018392	In
018393	
018394	the wilderness
018395	
018396	began preaching
018397	a baptism
018398	of repentance
018399	for
018400	the forgiveness
018401	of sins.
018402	
018403	were going out
018404	to him,
018405	
018406	People from the whole
018407	
018408	Judean
018409	countryside
018410	
018411	
018412	of Jerusalem
018413	and all
018414	
018415	and he was baptizing
018416	
018417	
018418	them in
018419	
018420	the Jordan
018421	River
018422	as they confessed
018423	
018424	their sins.
018425	
018426	
018427	
018428	
018429	John
018430	wore a garment
018431	hair
018432	made of camel’s
018433	
018434	belt
018435	with a leather
018436	around
018437	
018438	his waist,
018439	
018440	
018441	and he ate
018442	locusts
018443	
018444	honey.
018445	and wild
018446	
018447	He proclaimed,
018448	
018449	is coming
018450	
018451	“One more powerful
018452	than I am
018453	after me;
018454	
018455	
018456	not
018457	I am
018458	worthy
018459	to bend down
018460	and untie
018461	
018462	the strap
018463	
018464	of his sandals.
018465	
018466	
018467	I baptize you
018468	
018469	with water,
018470	
018471	but
018472	he will baptize you
018473	
018474	
018475	Spirit.”
018476	with the Holy
018477	
018478	
018479	Now in
018480	those
018481	
018482	days
018483	came
018484	Jesus
018485	from
018486	Nazareth
018487	
018488	in Galilee
018489	
018490	and was baptized
018491	in
018492	the
018493	Jordan River.
018494	by
018495	John
018496	
018497	And just as
018498	Jesus was coming up
018499	out of
018500	
018501	the water,
018502	he saw
018503	splitting apart
018504	
018505	the heavens
018506	
018507	
018508	and the Spirit
018509	like
018510	a dove.
018511	descending
018512	on him
018513	
018514	
018515	And a voice
018516	came
018517	from
018518	
018519	heaven:
018520	
018521	“You are
018522	
018523	Son;
018524	
018525	
018526	my one dear
018527	in
018528	
018529	you I take great delight.”
018530	
018531	immediately
018532	
018533	The Spirit
018534	
018535	drove him
018536	into
018537	
018538	the wilderness.
018539	
018540	He was
018541	in
018542	
018543	the wilderness
018544	forty
018545	days,
018546	enduring temptations
018547	from
018548	
018549	Satan.
018550	
018551	He was
018552	with
018553	
018554	wild animals,
018555	
018556	
018557	and angels
018558	were ministering to his needs.
018559	
018560	after
018561	Now
018562	
018563	was imprisoned,
018564	
018565	John
018566	went
018567	
018568	Jesus
018569	into
018570	
018571	Galilee
018572	and proclaimed
018573	
018574	the gospel
018575	
018576	of God.
018577	
018578	He said,
018579	
018580	is fulfilled
018581	
018582	“The time
018583	
018584	is near.
018585	
018586	and the kingdom
018587	
018588	of God
018589	Repent
018590	
018591	and believe
018592	
018593	
018594	the gospel!”
018595	
018596	As he went
018597	along
018598	
018599	the Sea
018600	
018601	of Galilee,
018602	he saw
018603	Simon
018604	
018605	and Andrew,
018606	
018607	brother,
018608	Simon’s
018609	casting a net
018610	into
018611	
018612	the sea
018613	they were
018614	(for
018615	fishermen).
018616	
018617	said to them,
018618	
018619	
018620	Jesus
018621	
018622	“Follow me,
018623	
018624	
018625	and I will turn
018626	
018627	you into
018628	fishers
018629	of people!”
018630	
018631	immediately
018632	They left
018633	
018634	their nets
018635	and followed him.
018636	
018637	
018638	Going on
018639	a little farther,
018640	he saw
018641	James,
018642	
018643	
018644	the son of Zebedee,
018645	
018646	and John
018647	
018648	his brother
018649	
018650	
018651	
018652	in
018653	
018654	their boat
018655	mending
018656	
018657	nets.
018658	
018659	Immediately
018660	he called them,
018661	
018662	
018663	and they left
018664	
018665	their father
018666	
018667	Zebedee
018668	in
018669	
018670	the boat
018671	with
018672	
018673	the hired men
018674	and followed him.
018675	
018676	
018677	
018678	Then they went
018679	to
018680	Capernaum.
018681	
018682	When
018683	
018684	the Sabbath came,
018685	Jesus went into
018686	
018687	
018688	the synagogue
018689	and began to teach.
018690	
018691	The people there were amazed
018692	by
018693	
018694	his teaching,
018695	
018696	
018697	because
018698	he taught them
018699	
018700	like
018701	authority,
018702	one who had
018703	
018704	not
018705	like
018706	
018707	the experts in the law.
018708	
018709	Just then
018710	there was
018711	in
018712	
018713	their synagogue
018714	
018715	a man
018716	with
018717	spirit,
018718	an unclean
018719	
018720	and he cried out,
018721	
018722	who
018723	
018724	
018725	
018726	“Leave us alone, Jesus
018727	the Nazarene!
018728	Have you come
018729	to destroy us?
018730	
018731	I know
018732	
018733	
018734	you are –
018735	
018736	the Holy One
018737	
018738	of God!”
018739	
018740	rebuked him:
018741	
018742	
018743	But Jesus
018744	
018745	“Silence!
018746	
018747	Come out
018748	of him!”
018749	
018750	
018751	After throwing
018752	him into convulsions,
018753	
018754	spirit
018755	
018756	the unclean
018757	
018758	cried out
018759	voice
018760	with a loud
018761	and came out
018762	of him.
018763	
018764	
018765	amazed
018766	They were all
018767	so that
018768	they asked
018769	
018770	each other,
018771	
018772	“What
018773	is this?
018774	
018775	teaching
018776	A new
018777	with
018778	authority!
018779	
018780	
018781	spirits
018782	
018783	the unclean
018784	He even commands
018785	
018786	and they obey him.”
018787	
018788	
018789	spread
018790	
018791	So the news about him
018792	
018793	quickly
018794	throughout
018795	
018796	all
018797	
018798	the region around
018799	
018800	Galilee.
018801	
018802	Now as soon as
018803	
018804	
018805	the synagogue,
018806	they left
018807	they entered
018808	
018809	
018810	house,
018811	Simon
018812	
018813	and Andrew’s
018814	with
018815	James
018816	
018817	and John.
018818	
018819	
018820	mother-in-law
018821	Simon’s
018822	was lying down,
018823	sick with a fever,
018824	
018825	at once
018826	so they spoke to Jesus
018827	
018828	about her.
018829	
018830	
018831	He came
018832	and raised
018833	her up
018834	by gently taking
018835	
018836	her hand.
018837	
018838	left her
018839	
018840	
018841	Then the fever
018842	
018843	and she began to serve them.
018844	
018845	evening,
018846	
018847	When it was
018848	after
018849	sunset,
018850	
018851	
018852	they brought
018853	to him
018854	
018855	all
018856	
018857	sick
018858	who were
018859	
018860	
018861	and demon-possessed.
018862	
018863	
018864	The whole
018865	
018866	town
018867	gathered
018868	by
018869	
018870	the door.
018871	
018872	So he healed
018873	many
018874	sick
018875	who were
018876	with various
018877	diseases
018878	
018879	demons.
018880	many
018881	and drove out
018882	
018883	But he would not
018884	permit
018885	to speak,
018886	
018887	the demons
018888	
018889	because they knew him.
018890	
018891	
018892	early in the morning
018893	dark,
018894	when it was still very
018895	Then Jesus got up
018896	departed,
018897	
018898	and went out
018899	to
018900	a deserted
018901	place,
018902	and there
018903	he spent time in prayer.
018904	
018905	searched for him.
018906	
018907	Simon
018908	
018909	
018910	and his companions
018911	
018912	
018913	When they found him,
018914	
018915	
018916	they said,
018917	
018918	
018919	“Everyone
018920	is looking for you.”
018921	
018922	
018923	He replied,
018924	
018925	“Let us go
018926	elsewhere,
018927	into
018928	
018929	
018930	the surrounding villages,
018931	so that
018932	
018933	there
018934	I can preach
018935	
018936	that is what
018937	too. For
018938	I came out here to do.”
018939	
018940	So he went
018941	preaching
018942	into
018943	
018944	their synagogues
018945	
018946	in
018947	all
018948	
018949	of Galilee
018950	
018951	
018952	demons.
018953	and casting out
018954	
018955	came
018956	to
018957	him
018958	Now a leper
018959	asking for help.
018960	
018961	
018962	and fell to his knees,
018963	
018964	he said.
018965	
018966	
018967	“If
018968	you are willing,
018969	you can
018970	me clean,”
018971	make
018972	
018973	Moved with compassion,
018974	Jesus stretched out
018975	
018976	his hand
018977	
018978	and touched
018979	
018980	him, saying,
018981	
018982	“I am willing.
018983	Be clean!”
018984	
018985	at once,
018986	left him
018987	
018988	
018989	
018990	The leprosy
018991	
018992	and he was clean.
018993	
018994	with a very strong warning.
018995	
018996	Immediately
018997	Jesus sent
018998	the man away
018999	
019000	He told him,
019001	
019002	“See
019003	that you do not
019004	anything to anyone,
019005	say
019006	but
019007	go,
019008	yourself
019009	show
019010	
019011	to a priest,
019012	
019013	and bring the offering
019014	for
019015	
019016	your cleansing,
019017	
019018	that
019019	commanded
019020	Moses
019021	as
019022	a testimony to them.”
019023	
019024	
019025	But
019026	as the man went out
019027	he began
019028	to announce
019029	it publicly
019030	
019031	and spread
019032	
019033	the story
019034	widely, so that
019035	Jesus was no longer
019036	
019037	able
019038	openly
019039	
019040	any town
019041	to enter
019042	but
019043	outside
019044	in
019045	remote
019046	places.
019047	stayed
019048	
019049	Still they kept coming
019050	to him
019051	
019052	from everywhere.
019053	
019054	when he returned
019055	
019056	to
019057	Capernaum,
019058	Now after
019059	some days,
019060	the news spread
019061	
019062	at
019063	home.
019064	that he was
019065	
019066	gathered
019067	So many
019068	that
019069	there was no longer
019070	any room,
019071	not even
019072	
019073	by
019074	
019075	the door,
019076	
019077	and he preached
019078	
019079	
019080	the word to them.
019081	
019082	Some people came
019083	bringing
019084	to him
019085	
019086	a paralytic,
019087	carried
019088	by
019089	four of them.
019090	
019091	When they were not
019092	able
019093	to bring him
019094	
019095	in because of
019096	
019097	the crowd,
019098	they removed
019099	
019100	the roof
019101	above Jesus.
019102	
019103	
019104	Then, after tearing it out,
019105	they lowered
019106	
019107	the stretcher
019108	
019109	
019110	the paralytic
019111	was lying on.
019112	
019113	saw
019114	
019115	When Jesus
019116	
019117	their faith,
019118	
019119	he said
019120	
019121	to the paralytic,
019122	“Son,
019123	are forgiven.”
019124	
019125	
019126	your sins
019127	were
019128	Now
019129	some
019130	
019131	of the experts in the law
019132	there,
019133	sitting
019134	
019135	turning these things over
019136	in
019137	
019138	their minds:
019139	
019140	“Why
019141	
019142	this way?
019143	does this man speak
019144	He is blaspheming!
019145	Who
019146	can
019147	forgive
019148	sins
019149	
019150	but
019151	alone?”
019152	
019153	God
019154	
019155	Now immediately,
019156	realized
019157	
019158	when Jesus
019159	
019160	in his spirit
019161	
019162	
019163	
019164	that they were contemplating
019165	such things in
019166	
019167	such thoughts, he said to them,
019168	
019169	“Why
019170	
019171	are you thinking
019172	
019173	
019174	your hearts?
019175	
019176	Which
019177	is
019178	easier,
019179	to say
019180	
019181	to the paralytic,
019182	are forgiven,’
019183	
019184	
019185	‘Your sins
019186	or
019187	to say,
019188	‘Stand up,
019189	
019190	take
019191	
019192	your stretcher,
019193	
019194	
019195	and walk’?
019196	so that
019197	But
019198	you may know
019199	
019200	authority
019201	has
019202	
019203	that the Son
019204	
019205	of Man
019206	to forgive
019207	sins,” –
019208	on
019209	
019210	earth
019211	he said
019212	
019213	to the paralytic –
019214	
019215	“I tell you,
019216	stand up,
019217	take
019218	
019219	your stretcher,
019220	
019221	
019222	and go
019223	
019224	
019225	home.”
019226	
019227	
019228	the man stood up,
019229	
019230	And immediately
019231	took
019232	
019233	his stretcher,
019234	and went out
019235	in front of
019236	them all.
019237	
019238	amazed
019239	They were all
019240	
019241	and glorified
019242	
019243	God,
019244	saying,
019245	
019246	anything like this!”
019247	“We have never
019248	seen
019249	
019250	Jesus went out
019251	again
019252	by
019253	
019254	the sea.
019255	
019256	The whole
019257	
019258	crowd
019259	came
019260	to him,
019261	
019262	
019263	and he taught them.
019264	
019265	
019266	As he went along,
019267	he saw
019268	Levi,
019269	the son
019270	
019271	of Alphaeus,
019272	sitting
019273	at
019274	
019275	the tax booth.
019276	
019277	he said to him.
019278	
019279	“Follow me,”
019280	
019281	
019282	And he got up
019283	and followed him.
019284	
019285	
019286	As Jesus was
019287	having a meal
019288	
019289	in
019290	
019291	Levi’s home,
019292	
019293	
019294	many
019295	tax collectors
019296	
019297	and sinners
019298	were eating
019299	
019300	with Jesus
019301	
019302	
019303	and his disciples,
019304	
019305	there were
019306	for
019307	many
019308	
019309	who followed him.
019310	
019311	
019312	
019313	When the experts in the law
019314	
019315	and the Pharisees
019316	saw
019317	
019318	that he was eating
019319	with
019320	
019321	sinners
019322	
019323	and tax collectors,
019324	they said
019325	
019326	to his disciples,
019327	
019328	
019329	with
019330	
019331	tax collectors
019332	
019333	and sinners?”
019334	“Why does he eat
019335	
019336	heard
019337	
019338	When Jesus
019339	this he said to them,
019340	
019341	
019342	don’t
019343	need
019344	those who are
019345	
019346	“Those who are healthy
019347	a physician,
019348	but
019349	
019350	sick
019351	do. I have
019352	not
019353	come
019354	to call
019355	the righteous,
019356	but
019357	sinners.”
019358	
019359	
019360	
019361	disciples
019362	Now John’s
019363	
019364	
019365	and the Pharisees
019366	were fasting.
019367	
019368	So they came
019369	
019370	to Jesus and said,
019371	
019372	
019373	“Why
019374	
019375	do the disciples
019376	of John
019377	
019378	
019379	and the disciples
019380	
019381	of the Pharisees
019382	fast,
019383	
019384	but
019385	your
019386	disciples
019387	don’t
019388	fast?”
019389	
019390	said to them,
019391	
019392	
019393	
019394	Jesus
019395	cannot
019396	
019397	guests
019398	
019399	“The wedding
019400	
019401	
019402	
019403	while the bridegroom
019404	with them,
019405	
019406	is
019407	fast
019408	can they? As long as
019409	
019410	they have
019411	
019412	the bridegroom
019413	with them
019414	
019415	not
019416	they do
019417	fast.
019418	are coming
019419	But
019420	the days
019421	when
019422	will be taken
019423	from them,
019424	
019425	
019426	the bridegroom
019427	
019428	
019429	they will fast.
019430	and at
019431	that
019432	
019433	time
019434	No one
019435	cloth
019436	a patch
019437	of unshrunk
019438	sews
019439	on
019440	garment;
019441	an old
019442	
019443	
019444	otherwise,
019445	pulls away
019446	
019447	the patch
019448	from it,
019449	
019450	
019451	the new
019452	
019453	from the old,
019454	
019455	worse.
019456	and the tear
019457	becomes
019458	
019459	And no one
019460	pours
019461	wine
019462	new
019463	into
019464	wineskins;
019465	old
019466	
019467	
019468	otherwise,
019469	will burst
019470	
019471	the wine
019472	
019473	the skins,
019474	
019475	
019476	and both the wine
019477	will be destroyed.
019478	
019479	
019480	and the skins
019481	Instead
019482	wine
019483	new
019484	is poured into
019485	wineskins.”
019486	new
019487	
019488	
019489	
019490	on
019491	
019492	a Sabbath,
019493	Jesus was going
019494	through
019495	
019496	the grain fields
019497	
019498	
019499	and his disciples
019500	
019501	began
019502	their way.
019503	as they made
019504	to pick
019505	
019506	some heads of wheat
019507	
019508	
019509	So the Pharisees
019510	said to him,
019511	
019512	“Look,
019513	why
019514	are they doing
019515	
019516	on the Sabbath?”
019517	what
019518	is against
019519	the law
019520	
019521	He said to them,
019522	
019523	“Have you never
019524	read
019525	what
019526	did
019527	David
019528	when
019529	in need
019530	he was
019531	
019532	were hungry –
019533	
019534	
019535	
019536	and he and his companions
019537	
019538	how
019539	he entered
019540	
019541	
019542	the house
019543	
019544	of God
019545	when
019546	Abiathar
019547	was high priest
019548	
019549	
019550	bread,
019551	
019552	the sacred
019553	and ate
019554	which
019555	is against
019556	the law
019557	to eat,
019558	
019559	for any but
019560	
019561	the priests
019562	
019563	and also gave
019564	
019565	
019566	it to his companions?”
019567	
019568	
019569	
019570	Then he said to them,
019571	
019572	
019573	“The Sabbath
019574	for
019575	
019576	people,
019577	was made
019578	
019579	not
019580	
019581	people
019582	for
019583	
019584	the Sabbath.
019585	For this reason
019586	lord
019587	is
019588	
019589	the Son
019590	
019591	of Man
019592	
019593	
019594	even of the Sabbath.”
019595	
019596	Then Jesus entered
019597	again,
019598	
019599	
019600	the synagogue
019601	
019602	was
019603	there
019604	and a man
019605	a withered
019606	who had
019607	
019608	hand.
019609	
019610	They watched
019611	
019612	Jesus closely to see if
019613	
019614	on the Sabbath,
019615	he would heal him
019616	
019617	so that
019618	they could accuse him.
019619	
019620	
019621	So he said
019622	
019623	to the man
019624	
019625	
019626	hand,
019627	who had
019628	the withered
019629	“Stand up
019630	
019631	
019632	among all these people.”
019633	
019634	Then he said to them,
019635	
019636	“Is it lawful
019637	
019638	on the Sabbath,
019639	good
019640	to do
019641	or
019642	evil,
019643	a life
019644	to save
019645	or
019646	destroy
019647	
019648	it?” But
019649	they were silent.
019650	
019651	After looking around at them
019652	
019653	in
019654	anger,
019655	grieved
019656	by
019657	
019658	the hardness
019659	
019660	of their hearts,
019661	
019662	he said
019663	
019664	to the man,
019665	“Stretch out
019666	
019667	your hand.”
019668	
019669	He stretched it out,
019670	
019671	was restored.
019672	
019673	and his hand
019674	
019675	
019676	went out
019677	
019678	So the Pharisees
019679	immediately
019680	with
019681	
019682	the Herodians,
019683	and began plotting
019684	
019685	
019686	
019687	as to how
019688	
019689	they could assassinate him.
019690	
019691	
019692	Then Jesus
019693	with
019694	
019695	his disciples
019696	
019697	went away
019698	to
019699	
019700	the sea,
019701	
019702	and a great
019703	multitude
019704	from
019705	
019706	Galilee
019707	followed him.
019708	
019709	And from
019710	
019711	Judea,
019712	
019713	
019714	Jerusalem,
019715	
019716	
019717	
019718	Idumea,
019719	
019720	beyond
019721	
019722	the Jordan River,
019723	
019724	and around
019725	Tyre
019726	
019727	and Sidon
019728	multitude
019729	a great
019730	when they heard
019731	about the things
019732	he had done.
019733	came
019734	to him
019735	
019736	
019737	he told
019738	
019739	his disciples
019740	
019741	to have
019742	a small boat
019743	ready for him
019744	
019745	Because of
019746	
019747	the crowd,
019748	so
019749	the crowd would not
019750	press toward him.
019751	
019752	many,
019753	For
019754	he had healed
019755	so that
019756	pressed toward him
019757	
019758	in order to
019759	
019760	touch him.
019761	all
019762	who were afflicted
019763	with diseases
019764	
019765	
019766	spirits
019767	
019768	the unclean
019769	And whenever
019770	
019771	saw him,
019772	they fell down before him
019773	
019774	
019775	and cried out,
019776	
019777	
019778	
019779	“You are
019780	
019781	the Son
019782	
019783	of God.”
019784	
019785	But he sternly
019786	ordered them
019787	
019788	to
019789	not
019790	
019791	known.
019792	make him
019793	
019794	Now Jesus went up
019795	
019796	
019797	the mountain
019798	
019799	and called for
019800	those
019801	he wanted,
019802	
019803	
019804	and they came
019805	to him.
019806	
019807	
019808	He appointed
019809	twelve
019810	(whom
019811	
019812	apostles),
019813	he named
019814	so that
019815	they would be
019816	with him
019817	
019818	
019819	
019820	and he could send them
019821	
019822	to preach
019823	
019824	and to have
019825	authority
019826	to cast out
019827	
019828	demons.
019829	
019830	He appointed
019831	
019832	twelve:
019833	
019834	he gave
019835	the name
019836	
019837	To Simon
019838	Peter;
019839	
019840	to James
019841	
019842	
