BGBsort	Book	Chapter	Verse	Heading	Crossref
1	40	1	1	The Genealogy of Jesus	『ruth｜4｜18｜Ruth 4:18-22』『luke｜3｜23｜Luke 3:23-38』
344	40	1	18	The Birth of Jesus	『isaiah｜7｜10｜Isaiah 7:10-16』『micah｜5｜1｜Micah 5:1-6』『luke｜2｜1｜Luke 2:1-7』
537	40	2	1	The Pilgrimage of the Magi	
805	40	2	13	The Flight to Egypt	『hosea｜11｜1｜Hosea 11:1-7』
895	40	2	16	The Slaughter of Infants	『jeremiah｜31｜1｜Jeremiah 31:1-30』
973	40	2	19	The Return to Nazareth	『isaiah｜61｜1｜Isaiah 61:1-11』『matthew｜13｜53｜Matthew 13:53-58』『mark｜6｜1｜Mark 6:1-6』『luke｜2｜39｜Luke 2:39-40』『luke｜4｜16｜Luke 4:16-30』
1086	40	3	1	The Mission of John the Baptist	『isaiah｜40｜1｜Isaiah 40:1-5』『mark｜1｜1｜Mark 1:1-8』『luke｜3｜1｜Luke 3:1-20』『john｜1｜19｜John 1:19-28』
1370	40	3	13	The Baptism of Jesus	『mark｜1｜9｜Mark 1:9-11』『luke｜3｜21｜Luke 3:21-22』『john｜1｜29｜John 1:29-34』
1489	40	4	1	The Temptation of Jesus	『mark｜1｜12｜Mark 1:12-13』『luke｜4｜1｜Luke 4:1-13』
1718	40	4	12	Jesus Begins His Ministry	『isaiah｜9｜1｜Isaiah 9:1-7』『mark｜1｜14｜Mark 1:14-15』『luke｜4｜14｜Luke 4:14-15』
1823	40	4	18	The First Disciples	『matthew｜13｜47｜Matthew 13:47-52』『mark｜1｜16｜Mark 1:16-20』『luke｜5｜1｜Luke 5:1-11』『john｜1｜35｜John 1:35-42』
1932	40	4	23	Jesus Heals the Multitudes	『luke｜6｜17｜Luke 6:17-19』
2019	40	5	1	The Sermon on the Mount	
2051	40	5	3	The Beatitudes	『psalms｜1｜1｜Psalm 1:1-6』『luke｜6｜20｜Luke 6:20-23』
2198	40	5	13	Salt and Light	『philippians｜2｜12｜Philippians 2:12-18』
2296	40	5	17	The Fulfillment of the Law	
2413	40	5	21	Anger and Reconciliation	『luke｜12｜57｜Luke 12:57-59』
2576	40	5	27	Adultery	『leviticus｜18｜1｜Leviticus 18:1-30』
2682	40	5	31	Divorce	『deuteronomy｜24｜1｜Deuteronomy 24:1-5』『luke｜16｜18｜Luke 16:18-18』
2724	40	5	33	Oaths and Vows	『numbers｜30｜1｜Numbers 30:1-16』
2826	40	5	38	Love Your Enemies	『leviticus｜24｜17｜Leviticus 24:17-23』『luke｜6｜27｜Luke 6:27-36』
3046	40	6	1	Giving to the Needy	『deuteronomy｜15｜7｜Deuteronomy 15:7-11』
3154	40	6	5	The Lord's Prayer	『luke｜11｜1｜Luke 11:1-4』
3406	40	6	16	Proper Fasting	
3481	40	6	19	Treasures in Heaven	『matthew｜13｜44｜Matthew 13:44-46』
3542	40	6	22	The Lamp of the Body	『luke｜11｜33｜Luke 11:33-36』
3626	40	6	25	Do Not Worry	『luke｜12｜22｜Luke 12:22-34』
3854	40	7	1	Do Not Judge	『luke｜6｜37｜Luke 6:37-42』『romans｜14｜1｜Romans 14:1-12』
3986	40	7	7	Ask, Seek, Knock	『luke｜11｜5｜Luke 11:5-13』
4107	40	7	13	The Narrow Gate	『luke｜13｜22｜Luke 13:22-30』
4159	40	7	15	A Tree and its Fruit	『matthew｜12｜33｜Matthew 12:33-37』『luke｜6｜43｜Luke 6:43-45』
4338	40	7	24	The House on the Rock	『luke｜6｜46｜Luke 6:46-49』
4449	40	7	28	The Authority of Jesus	
4486	40	8	1	The Leper's Prayer	『leviticus｜14｜1｜Leviticus 14:1-32』『mark｜1｜40｜Mark 1:40-45』『luke｜5｜12｜Luke 5:12-16』
4564	40	8	5	The Faith of the Centurion	『luke｜7｜1｜Luke 7:1-10』『john｜4｜43｜John 4:43-54』
4768	40	8	14	Jesus Heals at Peter's House	『mark｜1｜29｜Mark 1:29-34』『luke｜4｜38｜Luke 4:38-41』
4850	40	8	18	The Cost of Discipleship	『luke｜9｜57｜Luke 9:57-62』『luke｜14｜25｜Luke 14:25-33』『john｜6｜60｜John 6:60-65』
4953	40	8	23	Jesus Calms the Storm	『mark｜4｜35｜Mark 4:35-41』『luke｜8｜22｜Luke 8:22-25』
5046	40	8	28	The Demons and the Pigs	『mark｜5｜1｜Mark 5:1-20』『luke｜8｜26｜Luke 8:26-39』
5209	40	9	1	Jesus Heals a Paralytic	『mark｜2｜1｜Mark 2:1-12』『luke｜5｜17｜Luke 5:17-26』
5368	40	9	9	The Calling of Matthew	『mark｜2｜13｜Mark 2:13-17』『luke｜5｜27｜Luke 5:27-32』
5481	40	9	14	Questions about Fasting	『mark｜2｜18｜Mark 2:18-20』『luke｜5｜33｜Luke 5:33-35』
5541	40	9	16	The Patches and the Wineskins	『mark｜2｜21｜Mark 2:21-22』『luke｜5｜36｜Luke 5:36-39』
5601	40	9	18	The Healing Touch of Jesus	『mark｜5｜21｜Mark 5:21-43』『luke｜8｜40｜Luke 8:40-56』
5775	40	9	27	Jesus Heals the Blind and Mute	『isaiah｜35｜1｜Isaiah 35:1-10』『mark｜7｜31｜Mark 7:31-37』
5921	40	9	35	The Lord of the Harvest	
6008	40	10	1	The Twelve Apostles	『mark｜3｜13｜Mark 3:13-19』『luke｜6｜12｜Luke 6:12-16』
6098	40	10	5	The Ministry of the Twelve	『mark｜6｜7｜Mark 6:7-13』『luke｜9｜1｜Luke 9:1-6』
6314	40	10	16	Sheep among Wolves	『2_timothy｜1｜6｜2 Timothy 1:6-12』
6542	40	10	26	Fear God Alone	『luke｜12｜4｜Luke 12:4-7』
6663	40	10	32	Confessing Christ	『luke｜12｜8｜Luke 12:8-12』
6711	40	10	34	The Sword of the Gospel	『luke｜12｜49｜Luke 12:49-53』
6765	40	10	37	Take up Your Cross	『matthew｜16｜24｜Matthew 16:24-28』『mark｜8｜34｜Mark 8:34-38』『luke｜9｜23｜Luke 9:23-27』
6832	40	10	40	The Reward of Service	『2_kings｜4｜8｜2 Kings 4:8-17』
6899	40	11	1	John's Inquiry	『luke｜7｜18｜Luke 7:18-23』
7007	40	11	7	Jesus Testifies about John	『luke｜1｜5｜Luke 1:5-25』『luke｜7｜24｜Luke 7:24-35』『luke｜16｜14｜Luke 16:14-17』
7261	40	11	20	Woe to the Unrepentant	『luke｜10｜13｜Luke 10:13-16』
7374	40	11	25	Rest for the Weary	『luke｜10｜21｜Luke 10:21-24』
7512	40	12	1	The Lord of the Sabbath	『1_samuel｜21｜1｜1 Samuel 21:1-9』『mark｜2｜23｜Mark 2:23-28』『luke｜6｜1｜Luke 6:1-5』
7680	40	12	9	Jesus Heals on the Sabbath	『mark｜3｜1｜Mark 3:1-6』『luke｜6｜6｜Luke 6:6-11』
7794	40	12	15	God's Chosen Servant	『isaiah｜42｜1｜Isaiah 42:1-9』
7915	40	12	22	A House Divided	『mark｜3｜20｜Mark 3:20-27』『luke｜11｜14｜Luke 11:14-23』
8116	40	12	31	The Unpardonable Sin	『mark｜3｜28｜Mark 3:28-30』
8175	40	12	33	Good and Bad Fruit	『matthew｜7｜15｜Matthew 7:15-23』『luke｜6｜43｜Luke 6:43-45』
8288	40	12	38	The Sign of Jonah	『luke｜11｜29｜Luke 11:29-32』
8429	40	12	43	An Unclean Spirit Returns	『luke｜11｜24｜Luke 11:24-26』
8509	40	12	46	Jesus' Mother and Brothers	『mark｜3｜31｜Mark 3:31-35』『luke｜8｜19｜Luke 8:19-21』
8620	40	13	1	The Parable of the Sower	『mark｜4｜1｜Mark 4:1-9』『luke｜8｜4｜Luke 8:4-15』
8787	40	13	10	The Purpose of Jesus' Parables	『mark｜4｜10｜Mark 4:10-12』
8975	40	13	18	The Parable of the Sower Explained	『mark｜4｜13｜Mark 4:13-20』
9128	40	13	24	The Parable of the Weeds	『ezekiel｜17｜1｜Ezekiel 17:1-10』
9294	40	13	31	The Parable of the Mustard Seed	『mark｜4｜30｜Mark 4:30-34』『luke｜13｜18｜Luke 13:18-19』
9352	40	13	33	The Parable of the Leaven	『judges｜20｜18｜Judges 20:18-23』『2_samuel｜2｜12｜2 Samuel 2:12-32』『2_chronicles｜13｜4｜2 Chronicles 13:4-19』『luke｜13｜20｜Luke 13:20-21』
9379	40	13	34	I will Open My Mouth in Parables	『psalms｜78｜1｜Psalm 78:1-72』
9421	40	13	36	The Parable of the Weeds Explained	『zephaniah｜1｜1｜Zephaniah 1:1-6』
9605	40	13	44	The Parables of the Treasure and Pearl	『matthew｜6｜19｜Matthew 6:19-21』
9673	40	13	47	The Parable of the Net	『matthew｜4｜18｜Matthew 4:18-22』『mark｜1｜16｜Mark 1:16-20』『luke｜5｜1｜Luke 5:1-11』『john｜1｜35｜John 1:35-42』
9800	40	13	53	The Rejection at Nazareth	『isaiah｜61｜1｜Isaiah 61:1-11』『matthew｜2｜19｜Matthew 2:19-23』『mark｜6｜1｜Mark 6:1-6』『luke｜2｜39｜Luke 2:39-40』『luke｜4｜16｜Luke 4:16-30』
9931	40	14	1	The Beheading of John	『mark｜6｜14｜Mark 6:14-29』『luke｜9｜7｜Luke 9:7-9』
10151	40	14	13	The Feeding of the Five Thousand	『mark｜6｜30｜Mark 6:30-44』『luke｜9｜10｜Luke 9:10-17』『john｜6｜1｜John 6:1-15』
10345	40	14	22	Jesus Walks on Water	『mark｜6｜45｜Mark 6:45-52』『john｜6｜16｜John 6:16-25』
10581	40	14	34	Jesus Heals at Gennesaret	『mark｜6｜53｜Mark 6:53-56』
10637	40	15	1	Tradition and Worship	『mark｜7｜1｜Mark 7:1-13』
10805	40	15	10	What Defiles a Man	『mark｜7｜14｜Mark 7:14-23』
